trial	row	vector
7	12	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 -1 0
7	13	-1 1 0 -1 1 0 0 0 0 -1 0 -1 0 0 0 -1 0 0 0 0 0
7	14	-1 0 1 -1 0 1 -1 0 0 0 1 -1 0 0 0 -1 0 0 0 0 0
7	15	-1 1 1 -1 0 1 0 -1 0 0 0 -1 0 0 0 -1 0 0 0 0 0
7	16	0 -1 0 0 0 1 -1 1 1 -1 2 1 1 -1 0 1 -1 0 0 0 0
8	0	1 1 -1 -1 -1 -1 -1 -1 1 1 0 0 0 0 1 0 1 1 0 -1 0
8	1	0 -1 0 1 0 0 0 1 0 -1 0 1 0 0 0 1 0 0 0 0 0
8	2	1 0 -1 0 0 0 -1 -1 0 0 0 0 0 0 0 0 1 1 0 0 0
8	3	0 0 0 0 1 1 -1 0 0 0 0 0 1 0 -1 0 -1 0 0 -1 1
8	4	0 1 0 -1 1 0 -1 -1 0 0 0 0 1 -1 0 0 0 0 0 0 1
8	5	2 2 -2 -1 -1 -1 -1 -2 2 2 0 0 0 0 1 0 1 1 -1 -1 0
8	6	1 1 0 0 -2 0 -1 -2 1 2 0 -1 -1 0 1 -1 1 1 0 0 -2
8	7	0 2 -1 -1 0 -1 -1 -2 0 1 -1 -1 0 0 0 -1 2 1 0 0 1
8	8	0 -1 1 1 1 1 1 1 -1 -1 -1 0 0 0 0 0 -1 0 -1 0 0
8	9	1 -1 0 1 0 0 2 1 -1 0 -1 1 -1 1 1 0 0 0 -1 0 -1
8	10	0 2 0 0 -2 -1 0 -2 0 2 -1 -1 -1 -1 1 -1 2 1 0 1 -1
8	11	0 -1 -1 0 2 0 0 2 -1 -1 0 1 1 1 -1 1 -1 0 0 -1 1
8	12	0 1 -1 0 1 -1 -1 0 0 0 -1 0 1 0 0 0 0 1 0 -1 1
8	13	0 0 -1 -1 0 1 -1 0 1 -1 1 0 0 0 1 0 0 0 0 -1 0
8	14	0 -2 0 1 0 1 0 0 0 -1 0 1 0 0 0 1 0 0 1 0 0
8	15	0 0 -1 -1 1 0 -1 0 1 0 1 1 1 0 0 1 0 0 0 -1 1
8	16	0 0 0 1 1 0 1 0 -1 0 -1 0 0 0 -1 -1 0 0 0 0 0
9	0	0 0 0 -1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 -1 0
9	1	0 1 0 1 -1 0 0 -1 0 0 -1 -1 -1 0 0 -1 1 0 0 0 0
9	2	-1 0 0 0 2 0 0 1 -1 -1 0 0 0 0 -1 0 0 0 0 0 1
9	3	-1 -1 0 0 1 0 0 1 -1 -1 1 1 1 0 0 1 0 0 0 0 0
9	4	0 0 0 0 -1 -1 0 -1 0 1 -1 0 -1 -1 1 0 2 1 0 1 0
9	5	0 1 -1 -1 0 0 -1 -1 0 0 0 0 0 0 0 0 1 1 1 -1 1
9	6	-1 0 0 1 1 -1 1 0 -1 0 -1 0 0 0 -1 0 0 0 0 1 1
9	7	0 0 -1 0 1 0 0 1 0 -1 1 1 1 0 0 1 -1 0 -1 0 0
9	8	0 1 0 0 0 -1 0 -1 1 0 -1 -1 0 0 0 0 0 1 -1 0 0
9	9	0 0 0 0 1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 -1 1
9	10	-1 -2 0 1 1 1 1 1 -1 -1 0 1 1 0 -1 1 -1 0 0 0 1
9	11	1 0 -1 1 0 0 0 1 0 0 -1 1 0 0 0 0 0 0 0 0 0
9	12	1 0 -1 -1 1 0 0 1 0 0 1 1 1 0 0 1 -1 0 -1 -1 0
9	13	0 0 1 1 0 1 1 1 -1 0 0 0 0 0 0 -1 -1 -1 0 0 -1
9	14	-1 -1 0 0 1 1 -1 1 0 -1 1 1 1 0 0 1 -1 0 0 0 0
9	15	0 1 -1 0 -1 0 -1 -1 0 1 0 0 -1 0 1 -1 1 1 0 0 0
9	16	0 0 -1 0 1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 1
10	0	-1 0 0 0 0 0 -2 0 0 -1 0 0 0 -1 0 0 1 1 1 0 1
10	1	0 0 0 1 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0
10	2	-1 1 0 0 0 0 0 0 -1 0 0 0 0 -1 0 -1 1 0 0 0 1
10	3	0 1 -1 0 1 -1 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0
10	4	0 -1 1 1 0 0 1 0 -1 0 0 0 1 -1 -1 0 0 0 0 1 0
10	5	-1 -2 1 1 2 1 0 2 -1 -2 0 1 1 0 -1 1 -1 -1 0 0 1
10	6	-1 -1 1 0 1 1 -1 0 0 -1 1 0 1 0 -1 0 -1 0 1 -1 1
10	7	0 -1 0 0 1 0 0 1 0 -1 0 1 1 1 0 1 -1 0 0 -1 0
10	8	1 2 -1 -1 -1 -1 -1 -1 1 2 0 0 0 -1 1 0 1 1 -1 0 0
10	9	0 0 0 1 2 -1 1 1 -1 0 -1 0 0 0 -1 0 0 0 -1 0 0
10	10	0 1 -1 -1 0 -1 -2 -1 1 0 0 -1 0 0 0 0 1 1 1 -1 1
10	11	0 1 0 0 0 0 0 0 -1 0 -1 -1 0 0 0 -1 0 0 0 0 0
10	12	0 1 -1 0 0 -1 1 0 0 1 0 0 0 0 0 0 0 0 -1 0 0
10	13	-2 0 0 -1 1 1 -1 0 0 -1 1 -1 0 0 0 -1 0 0 1 -1 1
10	14	-1 0 1 1 1 0 1 1 -1 -1 -1 0 0 0 0 -1 0 0 -1 0 0
10	15	-1 0 1 1 0 0 1 -1 -1 0 -1 0 0 -1 0 0 1 0 0 1 0
10	16	0 -1 0 0 0 0 -1 0 0 0 1 1 0 0 0 1 0 0 1 0 0
11	0	0 -2 1 1 1 1 0 1 -1 -1 0 1 1 0 -2 1 -1 0 1 0 1
11	1	1 0 -1 1 0 -1 0 -1 0 0 -1 0 0 0 0 0 1 1 0 0 0
11	2	0 1 -1 0 -1 0 -1 -1 1 1 1 0 -1 -1 1 0 1 0 0 1 -1
11	3	0 -2 0 2 1 1 1 1 -1 -1 0 1 0 0 -1 1 -1 0 0 0 0
11	4	1 -1 0 1 -1 1 -1 0 1 0 1 0 0 0 0 0 -1 0 0 0 -1
11	5	0 0 0 0 0 0 -1 0 0 0 0 0 0 1 0 0 0 1 0 -1 0
11	6	0 1 -1 0 0 0 -1 -1 1 1 -1 0 -1 0 0 0 1 1 0 0 0
11	7	0 1 0 0 0 0 1 -1 0 1 -1 -1 0 -1 0 -1 0 0 -1 1 0
