ambient_rank=29
templates=100
LLL start
LLL done
ambient_reduced_min=46.3601302163|median=57.0258464395|max=75.0100934421
short_candidates=870

TOP SCALE CLUSTERS
 HIT|template=2|tnorm=10.0|anorm=143.576886196|h=14.3576886196|ambient=[0, 2, -1, 1, 0, -4, 1, -2, 1, 2, 0, -1, -1, 1, 1, -3, 1, 1, -1, -1, 3, 1, 2, 2, -2, -3, 3, 0, -1]
 HIT|template=3|tnorm=10.0|anorm=143.576886196|h=14.3576886196|ambient=[0, 2, -1, 1, 0, -4, 1, -2, 1, 2, 0, -1, -1, 1, 1, -3, 1, 1, -1, -1, 3, 1, 2, 2, -2, -3, 3, 0, -1]
 HIT|template=4|tnorm=10.0|anorm=143.576886196|h=14.3576886196|ambient=[0, 2, -1, 1, 0, -4, 1, -2, 1, 2, 0, -1, -1, 1, 1, -3, 1, 1, -1, -1, 3, 1, 2, 2, -2, -3, 3, 0, -1]
 HIT|template=5|tnorm=10.0|anorm=143.576886196|h=14.3576886196|ambient=[0, 2, -1, 1, 0, -4, 1, -2, 1, 2, 0, -1, -1, 1, 1, -3, 1, 1, -1, -1, 3, 1, 2, 2, -2, -3, 3, 0, -1]
 HIT|template=6|tnorm=10.0|anorm=143.576886196|h=14.3576886196|ambient=[0, 2, -1, 1, 0, -4, 1, -2, 1, 2, 0, -1, -1, 1, 1, -3, 1, 1, -1, -1, 3, 1, 2, 2, -2, -3, 3, 0, -1]
 HIT|template=7|tnorm=10.0|anorm=143.576886196|h=14.3576886196|ambient=[0, 2, -1, 1, 0, -4, 1, -2, 1, 2, 0, -1, -1, 1, 1, -3, 1, 1, -1, -1, 3, 1, 2, 2, -2, -3, 3, 0, -1]
SCALE|rank=11|h=9.52463328477|hits=2000|templates=100|candidates=20
 HIT|template=0|tnorm=10.0|anorm=94.1645026117|h=9.41645026117|ambient=[2, 0, 0, 0, 0, 1, 1, 0, -1, 0, 1, 0, 0, 0, 0, 2, 1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]
 HIT|template=1|tnorm=10.0|anorm=94.1645026117|h=9.41645026117|ambient=[2, 0, 0, 0, 0, 1, 1, 0, -1, 0, 1, 0, 0, 0, 0, 2, 1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]
 HIT|template=2|tnorm=10.0|anorm=94.1645026117|h=9.41645026117|ambient=[2, 0, 0, 0, 0, 1, 1, 0, -1, 0, 1, 0, 0, 0, 0, 2, 1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]
 HIT|template=3|tnorm=10.0|anorm=94.1645026117|h=9.41645026117|ambient=[2, 0, 0, 0, 0, 1, 1, 0, -1, 0, 1, 0, 0, 0, 0, 2, 1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]
 HIT|template=4|tnorm=10.0|anorm=94.1645026117|h=9.41645026117|ambient=[2, 0, 0, 0, 0, 1, 1, 0, -1, 0, 1, 0, 0, 0, 0, 2, 1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]
 HIT|template=5|tnorm=10.0|anorm=94.1645026117|h=9.41645026117|ambient=[2, 0, 0, 0, 0, 1, 1, 0, -1, 0, 1, 0, 0, 0, 0, 2, 1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]
 HIT|template=6|tnorm=10.0|anorm=94.1645026117|h=9.41645026117|ambient=[2, 0, 0, 0, 0, 1, 1, 0, -1, 0, 1, 0, 0, 0, 0, 2, 1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]
 HIT|template=7|tnorm=10.0|anorm=94.1645026117|h=9.41645026117|ambient=[2, 0, 0, 0, 0, 1, 1, 0, -1, 0, 1, 0, 0, 0, 0, 2, 1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]
SCALE|rank=12|h=10.1473800418|hits=2000|templates=100|candidates=20
 HIT|template=0|tnorm=10.0|anorm=100.301176793|h=10.0301176793|ambient=[-1, 0, 1, -1, 0, 2, -1, 1, -1, 0, 1, 1, 0, -1, -1, 0, 1, 1, 1, 0, -2, 0, 0, 0, 1, 1, 0, 0, 0]
 HIT|template=1|tnorm=10.0|anorm=100.301176793|h=10.0301176793|ambient=[-1, 0, 1, -1, 0, 2, -1, 1, -1, 0, 1, 1, 0, -1, -1, 0, 1, 1, 1, 0, -2, 0, 0, 0, 1, 1, 0, 0, 0]
 HIT|template=2|tnorm=10.0|anorm=100.301176793|h=10.0301176793|ambient=[-1, 0, 1, -1, 0, 2, -1, 1, -1, 0, 1, 1, 0, -1, -1, 0, 1, 1, 1, 0, -2, 0, 0, 0, 1, 1, 0, 0, 0]
 HIT|template=3|tnorm=10.0|anorm=100.301176793|h=10.0301176793|ambient=[-1, 0, 1, -1, 0, 2, -1, 1, -1, 0, 1, 1, 0, -1, -1, 0, 1, 1, 1, 0, -2, 0, 0, 0, 1, 1, 0, 0, 0]
 HIT|template=4|tnorm=10.0|anorm=100.301176793|h=10.0301176793|ambient=[-1, 0, 1, -1, 0, 2, -1, 1, -1, 0, 1, 1, 0, -1, -1, 0, 1, 1, 1, 0, -2, 0, 0, 0, 1, 1, 0, 0, 0]
 HIT|template=5|tnorm=10.0|anorm=100.301176793|h=10.0301176793|ambient=[-1, 0, 1, -1, 0, 2, -1, 1, -1, 0, 1, 1, 0, -1, -1, 0, 1, 1, 1, 0, -2, 0, 0, 0, 1, 1, 0, 0, 0]
 HIT|template=6|tnorm=10.0|anorm=100.301176793|h=10.0301176793|ambient=[-1, 0, 1, -1, 0, 2, -1, 1, -1, 0, 1, 1, 0, -1, -1, 0, 1, 1, 1, 0, -2, 0, 0, 0, 1, 1, 0, 0, 0]
 HIT|template=7|tnorm=10.0|anorm=100.301176793|h=10.0301176793|ambient=[-1, 0, 1, -1, 0, 2, -1, 1, -1, 0, 1, 1, 0, -1, -1, 0, 1, 1, 1, 0, -2, 0, 0, 0, 1, 1, 0, 0, 0]
SCALE|rank=13|h=12.0755098941|hits=2000|templates=100|candidates=20
 HIT|template=0|tnorm=10.0|anorm=119.768085689|h=11.9768085689|ambient=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
 HIT|template=1|tnorm=10.0|anorm=119.768085689|h=11.9768085689|ambient=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
 HIT|template=2|tnorm=10.0|anorm=119.768085689|h=11.9768085689|ambient=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
 HIT|template=3|tnorm=10.0|anorm=119.768085689|h=11.9768085689|ambient=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
 HIT|template=4|tnorm=10.0|anorm=119.768085689|h=11.9768085689|ambient=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
