priority_rank	orbit_mask	orbit_hex	group_addition_upper_bound	support_count	maximum_absolute_coefficient	coefficient_l1	minimal_unoriented_count	section_basis_w	direct_alternate_w	historical_alternate_w	short_basis_w
19202	14476	0x0388c	8	9	1	9	23	-1 -1 1 1 0 -1 1 0 1 0 -1 0 1 0 0 0 0	10 2 0 4 -4 -6 -8 4 0 3 0 1 -5 3 5 -6 6	-2 7 3 -1 -2 -1 -9 4 7 4 -2 5 -2 -7 0 7 0	-2 2 1 -1 0 2 -2 -1 2 2 2 -1 -1 1 0 0 0
19203	10771	0x02a13	8	9	1	9	23	-1 -1 1 1 0 -1 1 0 1 0 0 -1 1 0 0 0 0	7 1 1 1 -3 -4 -6 3 0 3 0 1 -3 2 3 -4 4	3 -3 3 -11 -9 3 -7 0 6 7 0 7 -1 -6 8 12 0	-1 3 0 -2 1 2 -2 -2 2 1 2 -1 -2 1 0 0 0
19204	25891	0x06523	8	9	1	9	21	-1 -1 1 1 0 -1 1 0 1 0 0 0 1 -1 0 0 0	11 2 2 2 -3 -6 -8 5 0 4 0 1 -4 2 5 -5 6	-10 -6 6 1 -3 -4 -10 -1 12 10 0 3 6 -12 -1 15 1	-1 3 0 -2 0 3 -2 -2 3 2 3 -2 -2 1 1 0 0
19205	40574	0x09e7e	8	9	1	9	21	-1 -1 1 1 0 -1 1 1 0 0 -1 0 0 0 -1 0 0	0 -1 2 2 -2 -2 -1 -1 0 0 2 1 -1 0 1 0 0	10 -11 -3 -19 -8 5 0 -1 -2 1 3 7 -5 2 13 6 -1	2 5 -3 -3 -1 3 -3 -2 2 -1 1 -1 -1 2 -2 1 0
19206	19328	0x04b80	8	9	1	9	22	-1 -1 1 1 0 -1 1 1 0 0 -1 0 0 0 0 -1 0	-4 -2 0 -1 -1 2 2 -2 1 -1 1 0 1 -1 -2 1 -2	-6 -26 -2 0 3 -1 8 -8 -1 1 10 -6 8 0 1 3 1	2 2 -2 -2 -2 2 -2 -1 1 -1 0 -1 0 0 -1 2 0
19207	34077	0x0851d	8	9	1	9	23	-1 -1 1 1 0 0 -1 0 0 0 0 1 -1 -1 1 0 0	-3 -2 0 -1 0 2 2 0 0 -2 1 -2 0 0 -1 1 -2	1 -54 -6 -15 -6 4 20 -19 -10 0 12 -8 13 5 12 6 1	1 2 -1 -1 -1 2 -2 0 1 0 1 0 0 0 0 1 0
19208	45363	0x0b133	8	9	1	9	26	-1 -1 1 1 0 0 -1 0 1 0 0 0 0 -1 1 1 0	10 2 -1 4 -4 -5 -8 5 -1 2 0 0 -5 4 5 -6 6	13 -4 -2 -19 -12 7 -1 0 -3 0 -3 8 -6 0 13 6 -1	-3 1 2 0 1 1 -2 0 1 2 2 0 -1 1 0 -1 0
19209	12445	0x0309d	8	9	1	9	22	-1 -1 1 1 0 0 -1 0 1 0 1 0 -1 -1 0 0 0	-2 -2 2 -2 1 1 2 1 0 -2 1 -2 1 -1 0 2 -2	11 -44 -5 -29 -16 8 12 -15 -8 3 6 2 6 4 21 12 0	1 4 -1 -1 1 2 -2 -1 2 0 2 0 -1 1 0 0 0
19210	68191	0x10a5f	8	9	1	9	25	-1 -1 1 1 0 0 0 -1 1 -1 0 0 1 0 1 0 0	1 -1 -2 0 -1 1 0 1 0 -1 -1 -1 -2 2 0 -2 0	0 7 0 2 -1 0 -1 1 -1 -1 -5 0 0 -3 -2 0 0	-1 1 1 1 1 0 -1 0 0 1 0 1 0 0 0 0 1
19211	98928	0x18270	8	9	1	9	21	-1 -1 1 1 0 0 0 0 0 -1 0 1 -1 -1 1 0 0	-6 -3 -2 -2 1 5 5 -2 0 -4 1 -2 2 -1 -3 3 -4	-7 -34 -4 -3 -1 -2 11 -12 -5 0 4 -7 12 -1 2 5 1	2 2 -2 0 -1 1 -1 0 0 -1 0 0 0 0 0 1 1
19212	79459	0x13663	8	9	1	9	19	-1 -1 1 1 0 0 0 0 0 -1 0 1 0 -1 1 1 0	11 2 -1 4 -4 -5 -8 5 -1 2 0 0 -5 4 5 -6 6	-5 3 2 1 -2 -3 -7 2 5 3 -5 3 1 -8 -2 7 0	-1 1 0 0 0 1 -1 0 0 1 1 0 -1 1 0 0 1
19213	48819	0x0beb3	8	9	1	9	20	-1 -1 1 1 0 0 0 0 0 -1 0 1 1 -1 0 0 1	6 -1 0 2 -1 -3 -3 4 0 -1 0 -2 -3 3 4 -3 3	-3 -26 -1 -3 -1 0 8 -9 -1 2 7 -5 8 0 3 4 1	1 3 -2 -2 -1 3 -2 -1 2 1 1 -1 -1 1 0 1 0
19214	75004	0x124fc	8	9	1	9	20	-1 -1 1 1 0 0 0 0 0 -1 1 0 0 -1 1 1 0	8 1 0 1 -3 -3 -6 4 -1 2 0 0 -3 3 3 -4 4	0 -7 2 -9 -9 1 -5 -2 4 6 -3 5 2 -7 6 12 0	0 2 -1 -1 1 1 -1 -1 0 0 1 0 -2 1 0 0 1
19215	36109	0x08d0d	8	9	1	9	21	-1 -1 1 1 0 0 0 0 0 0 -1 1 -1 -1 1 0 0	-4 -2 -2 0 -1 3 2 -2 0 -2 2 -1 0 0 -2 1 -2	-3 -45 -6 -9 -2 1 15 -14 -7 -1 10 -7 11 2 7 5 1	1 2 -1 -1 -2 2 -2 0 1 0 1 -1 0 0 0 1 0
19216	99443	0x18473	8	9	1	9	20	-1 -1 1 1 0 0 0 0 0 0 0 1 -1 -1 1 0 -1	3 1 2 0 -3 -1 -3 1 0 3 1 1 -2 0 0 -2 1	-15 -14 2 7 3 -7 -3 -4 6 5 1 -3 10 -10 -6 10 1	1 1 0 0 -1 1 -1 0 0 0 1 0 0 0 0 1 1
19217	112589	0x1b7cd	8	9	1	9	19	-1 -1 1 1 0 0 0 0 0 1 -1 1 -1 -1 0 0 0	3 0 2 2 -3 -3 -4 1 0 2 3 0 -3 1 2 -2 2	1 -59 -5 -21 -8 4 14 -17 -4 4 16 -3 11 2 16 13 1	1 4 -1 -3 -2 4 -3 -1 3 1 3 -2 -1 1 0 1 -1
19218	30785	0x07841	8	9	1	9	22	-1 -1 1 1 0 0 0 0 1 -1 0 1 0 -1 0 0 1	9 0 -2 3 -1 -4 -5 6 0 -2 0 -3 -3 3 6 -4 5	-4 -26 -1 -6 -4 -1 4 -8 1 3 3 -2 8 -3 4 8 1	-1 2 0 0 0 2 -1 0 2 2 2 -1 -1 1 1 0 0
19219	83074	0x14482	8	9	1	9	21	-1 -1 1 1 0 0 0 0 1 -1 0 1 0 -1 1 0 0	11 2 -2 3 -3 -4 -7 6 0 1 -1 -1 -4 3 5 -6 6	-16 8 4 16 6 -9 -9 3 9 3 -6 -2 6 -12 -13 5 1	-2 -1 2 2 0 0 0 1 0 2 1 0 0 0 1 0 1
19220	79856	0x137f0	8	9	1	9	20	-1 -1 1 1 0 0 0 0 1 -1 1 0 1 -1 0 0 0	9 1 2 1 -2 -4 -5 5 0 2 -1 0 -3 2 4 -4 4	-5 18 5 5 -1 -4 -13 6 9 5 -8 5 -1 -10 -5 7 0	0 2 0 0 1 1 -1 -1 1 1 1 0 -1 1 0 0 1
19221	19455	0x04bff	8	9	1	9	21	-1 -1 1 1 0 0 0 0 1 0 -1 1 0 -1 -1 0 0	1 -1 2 3 -1 -2 0 0 0 -1 2 0 -2 0 2 0 0	8 -5 -4 -14 -5 2 -1 1 -3 -2 -2 6 -5 1 8 3 -1	1 5 -1 -1 -1 3 -3 -1 3 1 2 -1 0 2 -1 0 0
19222	40449	0x09e01	8	9	1	9	23	-1 -1 1 1 0 0 0 0 1 0 -1 1 0 -1 0 -1 0	-3 -2 0 0 0 2 3 -1 1 -2 1 -1 0 -1 -1 1 -2	-8 -20 -3 5 6 -4 7 -6 -2 -2 5 -7 8 -1 -4 0 1	1 2 0 0 -2 2 -2 0 2 1 1 -1 1 0 0 1 0
19223	51793	0x0ca51	8	9	1	9	20	-1 -1 1 1 0 0 0 0 1 0 0 -1 1 -1 0 1 0	7 1 1 3 -4 -4 -6 2 -1 3 1 2 -4 3 3 -4 4	20 15 -1 -24 -15 9 -10 8 0 1 -7 16 -15 -1 16 7 -2	-1 4 0 -2 1 2 -3 -2 2 1 2 -1 -2 2 -1 -1 0
19224	125937	0x1ebf1	8	9	1	9	22	-1 -1 1 1 0 0 0 0 1 1 -1 0 0 0 -1 -1 0	0 -1 3 1 -2 -2 -1 0 1 1 2 0 -2 0 1 -1 0	9 -31 -5 -19 -6 6 9 -8 -5 0 11 1 1 5 14 5 0	1 4 0 -2 -1 3 -3 -1 3 1 2 -1 0 1 -1 1 -1
19225	48990	0x0bf5e	8	9	1	9	20	-1 -1 1 1 0 0 0 1 0 -1 0 1 0 -1 0 0 1	12 1 -1 4 -3 -6 -8 7 0 0 0 -2 -4 4 7 -6 7	-6 -22 0 -1 0 -2 3 -6 3 3 6 -3 7 -3 1 6 1	0 1 -1 -1 -1 2 -1 0 1 1 1 -1 -1 1 0 1 0
19226	53468	0x0d0dc	8	9	1	9	21	-1 -1 1 1 0 0 0 1 1 0 -1 0 -1 0 0 -1 0	-1 -1 -2 1 -2 1 0 0 1 -2 1 -1 0 0 0 -1 0	2 -13 -5 -5 1 1 5 -2 -4 -4 4 -1 0 2 3 -1 0	0 0 1 1 -1 0 -1 1 0 0 0 0 1 0 -1 1 0
19227	49731	0x0c243	8	9	1	9	22	-1 -1 1 1 0 0 0 1 1 0 0 -1 -1 0 0 -1 0	-4 -2 -1 -2 -1 3 2 -1 1 -2 1 -1 2 -1 -2 1 -2	7 -23 -5 -15 -6 5 7 -6 -5 -1 6 1 1 3 11 4 0	1 1 0 0 0 0 -1 0 0 -1 0 0 0 0 -1 1 0
19228	48988	0x0bf5c	8	9	1	9	21	-1 -1 1 1 0 0 1 0 0 -1 -1 1 0 0 0 0 1	8 0 -3 4 -3 -4 -6 4 0 -1 1 -2 -4 4 5 -5 5	-5 -27 -2 -4 -1 -1 5 -7 1 2 7 -3 7 -2 3 6 1	0 2 -1 -1 -1 2 -1 0 1 1 1 -1 -1 1 0 1 0
19229	58099	0x0e2f3	8	9	1	9	21	-1 -1 1 1 0 0 1 0 0 -1 0 1 0 -1 0 0 1	9 0 -1 2 -2 -4 -6 5 0 0 1 -2 -3 3 5 -4 5	-13 -40 1 -2 -2 -4 4 -12 6 8 9 -5 15 -7 2 14 2	1 3 -2 -2 -1 3 -1 -1 2 1 2 -2 -2 1 1 1 0
19230	122416	0x1de30	8	9	1	9	18	-1 -1 1 1 0 0 1 0 0 -1 0 1 0 -1 1 0 0	11 2 -1 2 -4 -4 -8 5 0 3 0 0 -4 3 4 -6 6	-25 -6 6 20 8 -12 -9 -1 14 8 0 -5 13 -16 -15 11 2	0 0 0 0 -1 1 0 0 0 1 1 -1 -1 0 1 1 1
19231	109377	0x1ab41	8	9	1	9	19	-1 -1 1 1 0 0 1 0 0 0 -1 0 1 -1 0 0 1	4 -1 -1 2 -3 -2 -4 1 0 1 2 0 -3 3 2 -3 3	2 -38 -3 -13 -5 4 9 -10 -1 3 13 -2 6 1 11 8 1	1 4 -2 -4 -2 4 -3 -2 3 1 2 -3 -2 1 0 1 -1
19232	45216	0x0b0a0	8	9	1	9	22	-1 -1 1 1 0 0 1 0 0 0 -1 1 -1 -1 0 0 0	0 -1 0 1 -2 0 -1 -1 0 0 3 0 -1 0 0 0 0	-7 -39 -3 -9 -3 -2 5 -10 1 4 8 -2 10 -4 6 12 1	2 4 -2 -2 -2 3 -2 -1 2 0 2 -2 -1 1 0 1 0
19233	3404	0x00d4c	8	9	1	9	22	-1 -1 1 1 0 0 1 0 0 0 -1 1 -1 0 0 -1 0	0 -1 0 0 -2 0 -1 0 1 0 2 -1 -1 0 0 -1 0	-15 -44 -2 2 4 -5 9 -13 2 4 13 -9 16 -4 -1 9 2	2 2 -1 -1 -2 2 -1 0 1 0 1 -1 0 0 0 2 0
19234	53581	0x0d14d	8	9	1	9	20	-1 -1 1 1 0 0 1 0 0 0 -1 1 0 -1 -1 0 0	1 -1 3 2 -2 -2 -1 -1 0 1 3 1 -2 0 1 0 0	-1 -19 -2 -10 -3 -1 -1 -3 2 3 4 3 2 -3 6 9 0	3 6 -3 -3 -2 4 -3 -2 3 0 2 -2 -1 2 -1 1 0
19235	27809	0x06ca1	8	9	1	9	24	-1 -1 1 1 0 0 1 0 0 0 -1 1 0 0 -1 -1 0	1 -1 3 1 -2 -2 -1 0 1 1 2 0 -2 0 1 -1 0	-9 -24 -1 1 4 -4 3 -6 3 3 9 -4 8 -3 -1 6 1	3 4 -2 -2 -2 3 -2 -1 2 0 1 -1 0 1 -1 2 0
