priority_rank	orbit_mask	orbit_hex	group_addition_upper_bound	support_count	maximum_absolute_coefficient	coefficient_l1	minimal_unoriented_count	section_basis_w	direct_alternate_w	historical_alternate_w	short_basis_w
51805	39088	0x098b0	14	12	2	15	2	-2 1 1 1 1 0 1 -2 0 1 -2 -1 1 0 0 1 0	0 -1 -1 1 -2 0 -1 -2 0 1 2 1 -2 2 -1 -1 0	-11 -7 1 8 4 -5 -2 -1 5 3 2 -3 6 -6 -6 4 1	2 2 -2 -2 -1 1 0 -1 0 0 0 -1 -1 0 0 1 0
51806	99796	0x185d4	14	12	2	15	4	-2 1 1 1 2 -1 -1 0 0 1 -2 -1 0 0 0 1 -1	-1 0 0 2 -1 0 1 -1 0 -1 0 1 0 0 -1 0 -1	-10 49 2 27 16 -10 -13 17 4 -7 -13 0 -8 -5 -22 -13 -1	2 -2 -1 2 -1 -2 1 1 -3 -2 -3 2 2 0 -2 1 1
51807	124330	0x1e5aa	14	12	2	15	3	-2 1 1 1 2 -1 -1 0 1 1 -1 -2 0 0 0 0 -1	-4 -1 0 -2 1 3 4 -1 1 -2 -1 0 3 -2 -3 2 -3	-16 44 4 32 17 -12 -13 14 7 -4 -12 -3 -2 -8 -25 -10 0	2 -3 0 3 0 -3 2 1 -3 -2 -3 2 2 -1 -1 1 1
51808	120709	0x1d785	14	12	2	15	3	-2 1 1 1 2 -1 0 -1 0 0 -2 -1 1 1 0 1 0	4 0 -3 3 -1 -2 -2 2 0 -2 -1 -1 -2 3 2 -3 2	-15 43 4 31 16 -11 -12 14 7 -4 -11 -3 -3 -7 -24 -11 0	1 -2 -1 2 0 -2 2 1 -3 -1 -3 2 1 0 -1 1 1
51809	109832	0x1ad08	14	12	2	15	3	-2 1 1 1 2 -1 0 -1 0 0 -1 -2 1 0 1 1 0	-3 -2 -4 -2 1 4 3 -1 0 -3 -1 -1 2 1 -3 1 -2	-18 23 4 29 13 -10 -6 6 6 -1 -7 -7 5 -8 -21 -6 1	2 -2 -2 1 0 -2 2 0 -3 -2 -3 1 0 -1 0 1 1
51810	91541	0x16595	14	12	2	15	3	-2 1 1 1 2 -1 0 -1 0 1 -2 -1 0 1 0 0 -1	-4 -1 0 -1 0 2 3 -2 1 -1 0 0 1 -1 -3 1 -3	-25 26 4 37 21 -15 -8 8 8 -2 -5 -9 6 -9 -28 -8 1	3 -2 -1 2 -1 -2 2 1 -3 -2 -3 2 2 -1 -1 2 1
51811	36008	0x08ca8	14	12	2	15	2	-2 1 1 1 2 -1 0 -1 0 1 -2 -1 0 1 0 1 0	10 2 -2 4 -3 -6 -8 5 0 1 0 -1 -4 4 5 -6 6	-17 9 4 20 10 -9 -7 4 9 2 -1 -4 5 -8 -15 0 1	0 -2 0 1 0 -1 2 1 -2 0 -1 1 0 0 0 1 0
51812	20649	0x050a9	14	12	2	15	3	-2 1 1 1 2 -1 0 -1 0 1 -2 -1 1 0 1 0 0	3 0 -3 0 -1 0 -2 2 1 0 -1 -1 -1 2 0 -3 2	-35 4 6 46 25 -17 -1 0 11 1 4 -18 17 -11 -32 -6 3	1 -4 0 1 -2 -1 2 1 -2 0 -2 0 1 -2 1 2 0
51813	14523	0x038bb	14	12	2	15	3	-2 1 1 1 2 -1 0 -1 0 1 -2 -1 1 1 0 0 0	7 1 -1 2 -2 -4 -5 4 1 1 -1 -1 -3 3 3 -5 4	-27 14 6 38 21 -14 -5 4 11 1 2 -12 10 -9 -27 -6 2	1 -3 0 1 -1 -1 2 1 -2 0 -2 1 1 -1 0 2 0
51814	71816	0x11888	14	12	2	15	4	-2 1 1 1 2 -1 0 -1 1 0 -2 -1 1 0 0 1 0	4 0 -4 3 0 -1 -1 2 0 -3 -1 -1 -1 2 2 -2 2	-18 53 5 35 17 -14 -18 18 10 -4 -17 -1 -4 -11 -28 -10 0	0 -2 0 3 0 -2 2 1 -2 0 -2 1 1 0 0 0 1
51815	68119	0x10a17	14	12	2	15	3	-2 1 1 1 2 -1 0 -1 1 0 -1 -2 1 0 0 1 0	1 -1 -3 0 1 1 1 1 0 -3 -1 -1 1 1 0 0 0	-13 43 5 25 10 -10 -16 14 9 -1 -15 1 -3 -10 -20 -5 0	1 -1 -1 2 1 -2 2 0 -2 -1 -2 1 0 0 0 0 1
51816	17317	0x043a5	14	12	2	15	4	-2 1 1 1 2 -1 0 -1 1 1 -2 -1 0 0 0 1 0	10 2 -3 4 -2 -5 -7 5 0 0 0 -1 -3 3 5 -5 6	-20 19 5 24 11 -12 -13 8 12 2 -7 -2 4 -12 -19 1 1	-1 -2 1 2 0 -1 2 1 -1 1 0 0 0 0 1 0 0
51817	98874	0x1823a	14	12	2	15	4	-2 1 1 1 2 -1 1 -1 0 0 -2 -1 1 0 0 1 0	4 0 -3 2 -1 -1 -2 1 0 -1 0 0 -1 2 1 -2 2	-27 39 7 39 19 -17 -18 14 15 1 -11 -4 3 -15 -30 -4 1	2 -1 -2 1 -1 -1 2 0 -2 -1 -2 0 0 0 0 1 1
51818	27908	0x06d04	14	12	2	15	3	-2 1 1 1 2 -1 1 -1 0 1 -2 -1 1 0 0 0 0	7 1 -1 1 -2 -3 -5 3 1 2 0 0 -2 2 2 -4 4	-39 10 9 46 24 -20 -11 4 19 6 2 -13 16 -17 -33 1 3	2 -2 -1 0 -2 0 2 0 -1 0 -1 -1 0 -1 1 2 0
51819	99799	0x185d7	14	12	2	15	4	-2 1 1 1 2 0 -1 -1 0 1 -2 -1 0 0 0 1 -1	-4 -1 0 1 -1 2 3 -3 0 -1 1 1 0 0 -3 1 -3	-8 44 0 24 15 -9 -11 16 2 -8 -12 0 -8 -4 -20 -13 -1	3 -1 -1 2 -1 -2 1 1 -3 -2 -3 2 2 0 -2 1 1
51820	32434	0x07eb2	14	12	2	15	3	-2 1 2 0 0 0 0 -1 1 1 0 -2 1 -1 1 1 -1	-2 1 2 -2 -1 1 0 -1 1 2 0 2 1 -1 -2 1 -1	-13 1 4 11 4 -6 -6 0 8 6 -1 -2 7 -8 -8 6 1	0 1 0 -2 1 1 0 -1 0 1 1 -1 -1 -1 1 0 0
51821	63253	0x0f715	14	12	2	15	3	-2 1 2 1 1 0 -1 0 1 1 -1 -2 0 -1 0 0 -1	-8 -2 2 -3 0 5 5 -3 1 -1 1 1 4 -3 -5 4 -5	-9 9 -1 13 10 -7 -4 5 2 -3 -3 -2 1 -4 -11 -3 0	3 0 -1 0 -1 0 0 0 -1 -1 -1 0 1 -1 -1 1 0
51822	73256	0x11e28	14	12	2	15	1	-2 1 2 1 1 0 -1 0 1 1 -1 -2 0 -1 0 1 0	6 1 0 2 -3 -3 -6 4 0 1 1 0 -1 2 3 -3 4	-1 -8 -1 -4 -1 -1 -3 1 3 1 1 3 0 -3 2 5 0	0 0 0 -1 0 1 0 0 0 1 1 -1 -1 0 0 0 -1
51823	118954	0x1d0aa	14	12	2	15	1	-2 2 -1 1 1 0 -1 -1 0 2 -1 0 -1 0 -1 1 0	-2 -2 0 1 2 0 4 -2 0 -3 1 -1 0 0 0 2 -2	2 -8 -2 -5 -4 1 7 -6 -6 -1 -2 -3 3 4 3 -2 0	2 -1 -2 1 0 -3 2 1 -2 -2 -2 2 1 0 -1 1 1
51824	60521	0x0ec69	14	12	2	15	3	-2 2 -1 1 1 0 -1 -1 0 2 -1 0 -1 0 0 1 -1	0 0 0 1 0 0 2 -2 0 0 0 1 -1 0 -1 0 -1	-10 26 3 17 6 -7 -6 5 2 -1 -11 -3 1 -5 -14 -5 0	1 -4 0 3 0 -5 3 2 -4 -2 -3 3 2 -1 -1 1 2
51825	104328	0x19788	14	12	2	15	2	-2 2 -1 1 1 0 -1 0 0 2 -1 -1 -1 0 -1 1 0	-3 -2 -1 1 1 1 4 -3 0 -3 1 0 1 0 -1 2 -2	10 9 -3 -8 -5 4 3 1 -7 -4 -5 2 -6 6 5 -6 -1	2 -2 -2 1 0 -4 2 1 -3 -3 -3 2 1 0 -2 1 1
51826	81595	0x13ebb	14	12	2	15	2	-2 2 0 0 0 1 -1 -1 1 2 0 -1 -1 -1 0 1 -1	-8 -1 1 -2 2 4 7 -5 1 -2 1 1 3 -3 -4 5 -5	-2 4 -1 1 -1 -2 0 -1 -2 0 -6 -1 2 0 -2 -1 0	1 -1 0 1 1 -3 2 1 -2 -1 -1 1 1 -1 0 0 1
51827	74589	0x1235d	14	12	2	15	4	-2 2 0 0 1 -1 -1 0 1 2 -1 -1 -1 0 0 1 -1	-2 1 -1 1 2 0 3 -1 1 -3 -1 0 2 -2 0 2 -1	-11 30 3 20 9 -8 -7 7 3 -2 -11 -3 0 -3 -16 -8 0	-1 -4 1 3 1 -4 3 2 -3 -1 -2 2 2 -1 0 0 1
51828	66684	0x1047c	14	12	2	15	3	-2 2 0 0 1 0 -1 -1 -1 2 -1 0 -1 0 1 1 -1	-5 0 0 -1 1 2 4 -3 1 -1 0 0 1 -1 -3 2 -3	-24 -8 2 29 16 -11 8 -7 1 0 4 -17 16 -2 -20 -7 2	2 -4 -1 1 -1 -3 3 2 -4 -2 -3 2 2 -2 0 2 1
