priority_rank	orbit_mask	orbit_hex	short_orbit_mask	coefficient_l1	support_count	maximum_absolute_coefficient	minimal_unoriented_count	section_basis_w	short_basis_w
19147	23897	0x05d59	68430	9	9	1	4	-1 0 0 -1 -1 0 1 0 -1 0 1 1 -1 0 1 0 0	0 1 -1 3 2 0 -1 2 -1 -3 2 1 -2 -2 0 0 -1
19148	75609	0x12759	126502	9	9	1	4	-1 0 0 -1 -1 0 1 0 -1 1 -1 0 0 1 0 0 1	2 1 1 -2 -2 -1 0 -2 0 1 -1 -1 0 1 1 -1 -1
19149	23385	0x05b59	1136	9	9	1	3	-1 0 0 -1 -1 0 1 0 -1 1 0 -1 -1 0 1 0 0	0 0 0 0 1 1 1 0 0 0 -1 0 0 0 0 0 0
19150	115545	0x1c359	31537	9	9	1	3	-1 0 0 -1 -1 0 1 0 -1 1 0 0 0 0 1 -1 1	-1 0 0 0 1 1 0 0 1 1 0 -1 1 1 -1 0 0
19151	58201	0x0e359	46211	9	9	1	6	-1 0 0 -1 -1 0 1 0 -1 1 0 0 0 1 1 -1 0	1 1 0 2 2 0 0 1 -2 -2 1 0 -1 -1 0 -1 0
19152	72537	0x11b59	37596	9	9	1	4	-1 0 0 -1 -1 0 1 0 -1 1 0 1 -1 0 0 0 1	2 0 1 -3 -1 0 1 -3 0 3 -2 -2 1 2 0 -1 0
19153	101209	0x18b59	32175	9	9	1	3	-1 0 0 -1 -1 0 1 0 -1 1 0 1 0 0 0 -1 1	-1 -1 -1 -1 0 1 0 -1 1 2 -1 -1 1 1 -1 0 0
19154	43865	0x0ab59	45597	9	9	1	3	-1 0 0 -1 -1 0 1 0 -1 1 0 1 0 1 0 -1 0	1 2 1 3 3 0 0 2 -2 -3 2 0 -1 -1 0 -1 0
19155	22361	0x05759	73559	9	9	1	4	-1 0 0 -1 -1 0 1 0 -1 1 1 0 -1 0 1 0 0	-1 1 -1 2 1 0 -1 2 -1 -3 1 1 -1 -2 0 0 -1
19156	31833	0x07c59	82782	9	9	1	4	-1 0 0 -1 -1 0 1 0 0 0 1 1 -1 -1 1 0 0	0 1 -1 3 1 0 -1 2 -1 -3 2 2 -2 -2 1 0 -1
19157	72153	0x119d9	49040	9	9	1	5	-1 0 0 -1 -1 0 1 1 -1 0 0 1 -1 0 0 0 1	0 0 0 0 -1 0 0 -1 -1 1 -1 -1 1 1 0 -1 0
19158	23001	0x059d9	10556	9	9	1	4	-1 0 0 -1 -1 0 1 1 -1 0 0 1 -1 0 1 0 0	0 0 -1 3 3 1 0 2 -1 -2 2 1 -2 -1 0 0 0
19159	100825	0x189d9	20707	9	9	1	4	-1 0 0 -1 -1 0 1 1 -1 0 0 1 0 0 0 -1 1	-3 -1 -2 2 0 1 -1 1 0 0 0 0 1 0 -1 0 0
19160	7129	0x01bd9	15291	9	9	1	5	-1 0 0 -1 -1 0 1 1 -1 1 0 1 -1 0 0 0 0	-1 1 0 3 3 1 0 3 -1 -3 2 1 -1 -1 0 0 0
19161	30937	0x078d9	24876	9	9	1	6	-1 0 0 -1 -1 0 1 1 0 0 0 1 -1 -1 1 0 0	0 0 1 -3 -2 -1 0 -2 1 2 -2 -2 2 1 -1 0 0
