root	fingerprint_index	identity	score	curve_max	line_max	anchor_count	v_pairings	anchors
root-000029	1573	0	3.3444935294438415e-09	1.594394469941304e-09	3.3444935294438415e-09	9	-1 -1 0 -2 -2 -1 -1 0 -2	V3:-2 V4:-2 V8:-2 D23:+2 D24:+2 D28:+2 D37:-2 D47:-2 D78:+2
root-000029	2462	0	3.3477610616491047e-09	3.3477610616491047e-09	2.931810472299207e-09	9	0 0 2 1 2 2 1 1 1	V2:+2 V4:+2 V5:+2 D02:-2 D04:-2 D05:-2 D12:-2 D14:-2 D15:-2
root-000029	2145	0	3.3837020443029023e-09	3.3837020443029023e-09	1.789092153993508e-09	9	0 -2 0 -2 -1 -1 -2 -1 -1	V1:-2 V3:-2 V6:-2 D01:+2 D03:+2 D06:+2 D12:-2 D23:+2 D26:+2
root-000029	1088	0	3.4002033228460446e-09	5.011293280268582e-16	3.4002033228460446e-09	9	1 2 1 0 2 1 2 1 0	V1:+2 V4:+2 V6:+2 D13:+2 D18:+2 D34:-2 D36:-2 D48:+2 D68:+2
root-000029	1055	0	3.4014003056182094e-09	1.1624550094745647e-14	3.4014003056182094e-09	9	-1 -2 -1 -1 -1 0 0 -2 -2	V1:-2 V7:-2 V8:-2 D15:-2 D16:-2 D57:+2 D58:+2 D67:+2 D68:+2
root-000029	1808	0	3.4525129638821493e-09	6.225187764152515e-11	3.4525129638821493e-09	9	1 0 1 2 2 1 2 1 0	V3:+2 V4:+2 V6:+2 D13:-2 D14:-2 D16:-2 D38:+2 D48:+2 D68:+2
root-000029	966	0	3.4526992718323988e-09	5.211653454878235e-15	3.4526992718323988e-09	9	1 2 1 2 2 1 0 0 1	V1:+2 V3:+2 V4:+2 D16:+2 D17:+2 D36:+2 D37:+2 D46:+2 D47:+2
root-000029	933	0	3.4552906817897034e-09	2.8280514897581707e-12	3.4552906817897034e-09	9	-1 -2 -2 0 -1 -2 0 -1 -1	V1:-2 V2:-2 V5:-2 D13:-2 D16:-2 D23:-2 D26:-2 D35:+2 D56:-2
root-000029	7	0	3.5194028619372553e-09	2.7277821165568353e-09	3.5194028619372553e-09	9	-2 -2 -2 -1 -1 0 -1 -1 0	V0:-2 V1:-2 V2:-2 D05:-2 D08:-2 D15:-2 D18:-2 D25:-2 D28:-2
root-000029	1656	0	3.5224736086133346e-09	4.870915822753109e-11	3.5224736086133346e-09	9	1 1 0 1 0 2 2 1 2	V5:+2 V6:+2 V8:+2 D25:-2 D26:-2 D28:-2 D45:-2 D46:-2 D48:-2
root-000029	1518	0	3.543400633278402e-09	1.163274297556331e-09	3.543400633278402e-09	9	1 1 1 1 0 2 0 2 2	V5:+2 V7:+2 V8:+2 D45:-2 D47:-2 D48:-2 D56:+2 D67:-2 D68:-2
root-000029	1659	0	3.555669272914306e-09	1.6958614782293318e-09	3.555669272914306e-09	9	-1 -1 0 -1 0 -1 -2 -2 -2	V6:-2 V7:-2 V8:-2 D26:+2 D27:+2 D28:+2 D46:+2 D47:+2 D48:+2
root-000029	1649	0	3.5573730479256666e-09	5.9599352622417e-10	3.5573730479256666e-09	9	-1 -1 0 -1 -1 -2 0 -2 -2	V5:-2 V7:-2 V8:-2 D25:+2 D27:+2 D28:+2 D56:-2 D67:+2 D68:+2
root-000029	1494	0	3.5599757718612767e-09	1.2128090916687725e-10	3.5599757718612767e-09	9	1 1 1 2 0 1 0 2 2	V3:+2 V7:+2 V8:+2 D34:+2 D36:+2 D47:-2 D48:-2 D67:-2 D68:-2
root-000029	1564	0	3.6153302917450347e-09	3.6153302917450347e-09	2.20403704247943e-09	9	1 1 0 2 2 2 1 0 1	V3:+2 V4:+2 V5:+2 D23:-2 D24:-2 D25:-2 D37:+2 D47:+2 D57:+2
root-000029	12	0	3.62546581849789e-09	2.560012584675129e-09	3.62546581849789e-09	9	2 2 2 1 1 0 0 1 1	V0:+2 V1:+2 V2:+2 D05:+2 D06:+2 D15:+2 D16:+2 D25:+2 D26:+2
root-000029	11	0	3.6359546350629907e-09	2.853319235738595e-09	3.6359546350629907e-09	9	-2 -2 -2 -1 -1 0 0 -1 -1	V0:-2 V1:-2 V2:-2 D05:-2 D06:-2 D15:-2 D16:-2 D25:-2 D26:-2
root-000029	1148	0	3.635970602270314e-09	3.858867827255886e-12	3.635970602270314e-09	9	1 2 0 2 2 0 1 1 1	V1:+2 V3:+2 V4:+2 D12:+2 D15:+2 D23:-2 D24:-2 D35:+2 D45:+2
root-000029	1854	0	3.6384463658951242e-09	8.199906204838778e-11	3.6384463658951242e-09	9	1 0 1 2 0 2 1 1 2	V3:+2 V5:+2 V8:+2 D13:-2 D15:-2 D18:-2 D34:+2 D45:-2 D48:-2
