index,shell_norm,branch_ascending,constant_representative,monic_branch_ascending,extension_representative_index,value_at_control,homogeneous_value_at_3_17,small_witness
75,10,"[""115421902408900888876204634458021808365686025/46832890023936"",""-429467293189546271086296187061054313246549725/23416445011968"",""647286529916581667663686210120861923410649025/46832890023936""]",647286529916581667663686210120861923410649025/46832890023936,"[""465951532387201/2613058216972921"",""-3467469157854058/2613058216972921"",""1""]",75,-1155788834978031939151473957692870005692242375/3383676304229376,-1155788834978031939151473957692870005692242375/11708222505984,"{""place"":""real"",""sign"":-1}"
76,10,"[""23843095526951327291037846769139852413246344129/7430172782402500"",""-2335708405914140191648755600359240533956221337/1857543195600625"",""476870728984131784402911622880703045564948861/1857543195600625""]",476870728984131784402911622880703045564948861/1857543195600625,"[""475996913001/38080457236"",""-46629431553/9520114309"",""1""]",76,6431337438725877732252096392231837588141462459529/2147319934114322500,6431337438725877732252096392231837588141462459529/7430172782402500,"{""place"":""3"",""prime"":3,""valuation"":7,""unit_modulus"":3,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
77,10,"[""15128604780686325793124903043792195735681/27404638683136"",""14056194990092676289645628980519329708063/13702319341568"",""18242999438492883432052173722113727286849/27404638683136""]",18242999438492883432052173722113727286849/27404638683136,"[""1697476883281/2046921727249"",""450614040818/292417389607"",""1""]",77,1492521416388559271661355174791984935853969/1979985144856576,1492521416388559271661355174791984935853969/6851159670784,"{""place"":""17"",""prime"":17,""valuation"":-2,""unit_modulus"":17,""unit_residue"":5,""unit_is_square"":false,""is_square"":false}"
78,10,"[""80273358685479045958858180327268501478651199623769681875/8982899692936498397048667755090884"",""135349107034129245911003269468516227682580938748779936125/8982899692936498397048667755090884"",""238041955716142090602981484038957102898414774589128061025/35931598771745993588194671020363536""]",238041955716142090602981484038957102898414774589128061025/35931598771745993588194671020363536,"[""108856457087086624907861100/80700509987592526721773561"",""183543139379085258050119380/80700509987592526721773561"",""1""]",78,122549598076821422109711556786250312082653031241131011766225/10384232045034592146988259924885061904,122549598076821422109711556786250312082653031241131011766225/35931598771745993588194671020363536,"{""place"":""37"",""prime"":37,""valuation"":0,""unit_modulus"":37,""unit_residue"":8,""unit_is_square"":false,""is_square"":false}"
79,10,"[""16645854577152239631807099576622123600111311412854966889/110467065330411922523452870656"",""-3479068367572808247205865151300083225414081541210255589/55233532665205961261726435328"",""295244201043002909767572174572251844588873810330466289/110467065330411922523452870656""]",295244201043002909767572174572251844588873810330466289/110467065330411922523452870656,"[""34524403559992003869601/612352456782058324201"",""-14431552285666433095802/612352456782058324201"",""1""]",79,1114611049278489459641290420445583874510308136351153389361/7981245470122261402319469904896,1114611049278489459641290420445583874510308136351153389361/27616766332602980630863217664,"{""place"":""7"",""prime"":7,""valuation"":0,""unit_modulus"":7,""unit_residue"":6,""unit_is_square"":false,""is_square"":false}"
80,10,"[""-1539702841925325270432094918188816297309471/35848726773760000"",""68873517651931388044266765580338605356503/17924363386880000"",""5649066463375304584100857169919281350781361/35848726773760000""]",5649066463375304584100857169919281350781361/35848726773760000,"[""-1964759/7208569"",""175774/7208569"",""1""]",80,-96776856086386065079363126684524960004760391/2590070509404160000,-96776856086386065079363126684524960004760391/8962181693440000,"{""place"":""real"",""sign"":-1}"
81,10,"[""107510101182813449705166481581847264654690238097621/690947204687766057996484"",""5192137664562666266379281015971306039694543008428/172736801171941514499121"",""-5051182892129638133463455042508748245738308238921/172736801171941514499121""]",-5051182892129638133463455042508748245738308238921/172736801171941514499121,"[""-12815855341284272029/2408526400243102916"",""-88419180402565396/86018800008682247"",""1""]",81,31947772741287203910329802122881690980456586487330625/199683742154764390760983876,31947772741287203910329802122881690980456586487330625/690947204687766057996484,"{""place"":""23"",""prime"":23,""valuation"":0,""unit_modulus"":23,""unit_residue"":14,""unit_is_square"":false,""is_square"":false}"
82,10,"[""815785662960957382372209077628419092808993804912997225/1183647883453479809168548096"",""674134673529567190752425080851655890958619556613493925/591823941726739904584274048"",""600398703527181285293614185570495780687387071312231025/1183647883453479809168548096""]",600398703527181285293614185570495780687387071312231025/1183647883453479809168548096,"[""14870288223359001/10944175873323169"",""24576496871395626/10944175873323169"",""1""]",82,4842615337929330758280598583619007511340076375566291525/5344909973719619763276724996,4842615337929330758280598583619007511340076375566291525/18494498178960622018258564,"{""place"":""2"",""prime"":2,""valuation"":-2,""unit_modulus"":8,""unit_residue"":5,""unit_is_square"":false,""is_square"":false}"
83,10,"[""-207806336241132469425689089604501030903922183159/1548286863205666038016"",""270555718463412194085096389718170682512184240333/774143431602833019008"",""564350698307736215852134259157472440603385821729/1548286863205666038016""]",564350698307736215852134259157472440603385821729/1548286863205666038016,"[""-3067383507593971656191/8330256217402321868121"",""2662408868152183572078/2776752072467440622707"",""1""]",83,-106953873459568804393262135984492720115469711029/1747870716665771425729,-106953873459568804393262135984492720115469711029/6047995559397132961,"{""place"":""real"",""sign"":-1}"
84,10,"[""368117094824254627469155003617850706860645848849651/459469084375130444330884"",""-195231372652122148038588425218045029728525860779957/459469084375130444330884"",""87796772173843224027697018488898321088270791089249/1837876337500521777323536""]",87796772173843224027697018488898321088270791089249/1837876337500521777323536,"[""15735636308844/938246345689"",""-8345414867508/938246345689"",""1""]",84,1337392154136228443497302486519565107114469767442521/1837876337500521777323536,386506332545370020170720418604154315956081762790888569/1837876337500521777323536,"{""place"":""11"",""prime"":11,""valuation"":5,""unit_modulus"":11,""unit_residue"":4,""unit_is_square"":true,""is_square"":false}"
85,10,"[""-34301611388706019511054014072049474439/578183827456"",""21299365496145627703459938086734409955/289091913728"",""55689870134625040111758482536675340625/578183827456""]",55689870134625040111758482536675340625/578183827456,"[""-212280690499751/344645152440625"",""52725733068238/68929030488125"",""1""]",85,-1809855394879390062983967509786327557959/41773781533696,-1809855394879390062983967509786327557959/144545956864,"{""place"":""real"",""sign"":-1}"
86,10,"[""-97133107504664742292169444000068951562360618833125/2740864949492342933544964"",""1656251300964280274372196178987546668769032377766375/2740864949492342933544964"",""5519960775266057760378377406856503082805812682496225/10963459797969371734179856""]",5519960775266057760378377406856503082805812682496225/10963459797969371734179856,"[""-17283642752335700/245552295446799121"",""294709564322165980/245552295446799121"",""1""]",86,275269040098715253725585539911088340168046043835714025/3168439881613148431177978384,275269040098715253725585539911088340168046043835714025/10963459797969371734179856,"{""place"":""7"",""prime"":7,""valuation"":0,""unit_modulus"":7,""unit_residue"":6,""unit_is_square"":false,""is_square"":false}"
87,10,"[""15551564040538514110955628635449627060365155625/35599272967868416"",""6516767382071419731760955968235712961722451875/17799636483934208"",""7639440214278031293608649322026139916466552225/35599272967868416""]",7639440214278031293608649322026139916466552225/35599272967868416,"[""445898119239225/219039835138609"",""373700588778150/219039835138609"",""1""]",87,1306966810653854418087068007075805050447354759225/2572047471928493056,1306966810653854418087068007075805050447354759225/8899818241967104,"{""place"":""3"",""prime"":3,""valuation"":9,""unit_modulus"":3,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
88,10,"[""15634221651800384898389485547201242500/7890481"",""-31964961907218478841296328526445836000/7890481"",""23928533406538392300559519716044193600/7890481""]",23928533406538392300559519716044193600/7890481,"[""2423168860425/3708715298896"",""-619286508495/463589412362"",""1""]",88,10738525262148838565513786317428440100/7890481,3103433800761014345433484245736819188900/7890481,"{""place"":""3"",""prime"":3,""valuation"":7,""unit_modulus"":3,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
89,10,"[""29233652991814190245652347622051544262225/42681865994496"",""5162860868847229062500122925731417819625/21340932997248"",""-3544088059131994325333113163993504717375/42681865994496""]",-3544088059131994325333113163993504717375/42681865994496,"[""-2050714071169/248614542095"",""-144867990794/49722908419"",""1""]",89,558952545670283149777533936420097460433025/770941204525584,558952545670283149777533936420097460433025/2667616624656,"{""place"":""23"",""prime"":23,""valuation"":0,""unit_modulus"":23,""unit_residue"":10,""unit_is_square"":false,""is_square"":false}"
90,10,"[""236277489460820565988682683825878960025/2019963136"",""69255003057669870505917759643599113125/1009981568"",""2765472522880457705018452702224210625/2019963136""]",2765472522880457705018452702224210625/2019963136,"[""1901113620169/22251283825"",""44578645178/890051353"",""1""]",90,76888724557237663300660696839751325/595508,22220841397041684693890941386688132925/595508,"{""place"":""31"",""prime"":31,""valuation"":0,""unit_modulus"":31,""unit_residue"":15,""unit_is_square"":false,""is_square"":false}"
96,10,"[""61126259882931366408534340423610735625/107049369856"",""-22353640403175344539800508282944163875/53524684928"",""14921064027540115039406516631771737025/107049369856""]",14921064027540115039406516631771737025/107049369856,"[""288395607700825/70398047189649"",""-70310116805730/23466015729883"",""1""]",96,60623856880043518688911840575191966850/120848702689,60623856880043518688911840575191966850/418161601,"{""place"":""2"",""prime"":2,""valuation"":1,""unit_modulus"":8,""unit_residue"":1,""unit_is_square"":true,""is_square"":false}"
97,10,"[""20937490438846617091192655245833580736352187260729/66491089999704779690502400"",""46354543223483094048070289285613368141777144356269/6649108999970477969050240"",""17715772303000614340074816247685690841712076213553/2659643599988191187620096""]",17715772303000614340074816247685690841712076213553/2659643599988191187620096,"[""1338893153166995449/28321835308811314825"",""5928483236458396378/5664367061762262965"",""1""]",97,2104862534311136783149209909839875189031083930506081/1200995313119667583159699600,2104862534311136783149209909839875189031083930506081/4155693124981548730656400,"{""place"":""7"",""prime"":7,""valuation"":3,""unit_modulus"":7,""unit_residue"":4,""unit_is_square"":true,""is_square"":false}"
98,10,"[""45160180520029550295924081772707543189963225/95245419909376"",""15668639918924231482451970656109491980511325/47622709954688"",""13368047076367660333978580729921454200999025/95245419909376""]",13368047076367660333978580729921454200999025/95245419909376,"[""34856316108241/10317958636969"",""24187284448874/10317958636969"",""1""]",98,57694554162914533553663936975800551764533275/107523149819569,57694554162914533553663936975800551764533275/372052421521,"{""place"":""2"",""prime"":2,""valuation"":0,""unit_modulus"":8,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
104,10,"[""301318248562536265716347771619200173647748137216/1269699130037437218025"",""-20735149027993125040519006040641320615883874304/253939826007487443605"",""66395070066593958988430315754047108908007424/50787965201497488721""]",66395070066593958988430315754047108908007424/50787965201497488721,"[""3633940589662656361/20018347811617600"",""-181736063031559/2909643577270"",""1""]",104,283074220495500752759392928299757695593955451136/1269699130037437218025,81808449723199717547464556278629974026653125378304/1269699130037437218025,"{""place"":""11"",""prime"":11,""valuation"":2,""unit_modulus"":11,""unit_residue"":6,""unit_is_square"":false,""is_square"":false}"
105,10,"[""23146559807901681203521742815111329296829986184285249/344520987477409348610560000"",""3143758708419023209652994047860156256710312117262607/172260493738704674305280000"",""-5351926167004867458280572382572409298762745486541599/344520987477409348610560000""]",-5351926167004867458280572382572409298762745486541599/344520987477409348610560000,"[""-71354098920354098841721/16498428807745829200871"",""-19382583997271000108206/16498428807745829200871"",""1""]",105,1740462959309820607019465978751439605319863283460087121/24891641345242825437112960000,1740462959309820607019465978751439605319863283460087121/86130246869352337152640000,"{""place"":""11"",""prime"":11,""valuation"":1,""unit_modulus"":11,""unit_residue"":10,""unit_is_square"":false,""is_square"":false}"
106,10,"[""9906702522347966255731482287130786610211184739449/861088609265985828001562500"",""53951578809468721990832676081182783860928138244183/215272152316496457000390625"",""53973581077675682458124777639550801819522085943961/215272152316496457000390625""]",53973581077675682458124777639550801819522085943961/215272152316496457000390625,"[""1012463585089519081/22064369158052300836"",""5513843660839844327/5516092289513075209"",""1""]",106,54713522577461958832279433552131190669491929707601/861088609265985828001562500,15812208024886506102528756296565914103483167685496689/861088609265985828001562500,"{""place"":""17"",""prime"":17,""valuation"":0,""unit_modulus"":17,""unit_residue"":10,""unit_is_square"":false,""is_square"":false}"
107,10,"[""903215408472923681145974271433004115114246225/1908432350494130176"",""-286439139093126343552915958208508563215791425/954216175247065088"",""152271325869126433044917577409856725806431025/1908432350494130176""]",152271325869126433044917577409856725806431025/1908432350494130176,"[""62449461628162249/10528233057948841"",""-39609532472089714/10528233057948841"",""1""]",107,58295725698499548676548348725889756588066078225/137884237323200905216,58295725698499548676548348725889756588066078225/477108087623532544,"{""place"":""7"",""prime"":7,""valuation"":1,""unit_modulus"":7,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
108,10,"[""223566673545781269595569247099690970573841/523799022862336"",""164643688901586559269896487444245594542407/261899511431168"",""114941866114985876052133593526460716596129/523799022862336""]",114941866114985876052133593526460716596129/523799022862336,"[""18007669448208441/9258245417043529"",""26523176101793214/9258245417043529"",""1""]",108,20609725429431872210779539118215471897132681/37844479401803776,20609725429431872210779539118215471897132681/130949755715584,"{""place"":""3"",""prime"":3,""valuation"":7,""unit_modulus"":3,""unit_residue"":1,""unit_is_square"":true,""is_square"":false}"
109,10,"[""2144879586469242800026893056235609921681/523799022862336"",""-10811516602328502762253941442582127833353/261899511431168"",""28355908036750795427861740477357076833729/523799022862336""]",28355908036750795427861740477357076833729/523799022862336,"[""371613504481299441/4912834466214689569"",""-3746322729438368466/4912834466214689569"",""1""]",109,-56925330154284738422843567398768020033159/37844479401803776,-56925330154284738422843567398768020033159/130949755715584,"{""place"":""real"",""sign"":-1}"
115,10,"[""68549245534061794955316747682226065777307253225/6246932386502505604"",""-8461003554568683122053916800067984419952426625/1561733096625626401"",""7562045477819259904247842623178122628988585625/1561733096625626401""]",7562045477819259904247842623178122628988585625/1561733096625626401,"[""778103411747473081/343347521346939300"",""-336985844229701/301182036269245"",""1""]",115,18356920871413340741740463387383876602615090233025/1805363459699224119556,18356920871413340741740463387383876602615090233025/6246932386502505604,"{""place"":""11"",""prime"":11,""valuation"":0,""unit_modulus"":11,""unit_residue"":10,""unit_is_square"":false,""is_square"":false}"
118,10,"[""76160867220429089402513009684600502219419159889/1367581670333633069056"",""-54847307417180985485437840623144736436167457121/683790835166816534528"",""65735501106623703823877298011516126824227648369/1367581670333633069056""]",65735501106623703823877298011516126824227648369/1367581670333633069056,"[""9399068158859351449/8112466124758099129"",""-255424384983456074/153065398580341493"",""1""]",118,4251921195027789913056623934348106791585276354225/98807775681604989239296,4251921195027789913056623934348106791585276354225/341895417583408267264,"{""place"":""23"",""prime"":23,""valuation"":1,""unit_modulus"":23,""unit_residue"":4,""unit_is_square"":true,""is_square"":false}"
119,10,"[""61726019450486844861573625991076862351269435201/296302516633600000000"",""-9524901745150804509086659069142930233965960441/148151258316800000000"",""-295664079282356125556876407985631817601896719/296302516633600000000""]",-295664079282356125556876407985631817601896719/296302516633600000000,"[""-841234631863618521/4029465452407799"",""259620733183561122/4029465452407799"",""1""]",119,4216154666617943724984481699674190912323480434409/21407856826777600000000,4216154666617943724984481699674190912323480434409/74075629158400000000,"{""place"":""47"",""prime"":47,""valuation"":0,""unit_modulus"":47,""unit_residue"":45,""unit_is_square"":false,""is_square"":false}"
120,10,"[""42734063157121992395326162990980493323/797758452371042"",""793756990589601679204647228323431961169/797758452371042"",""6696051323357632679337355483517574331329/6382067618968336""]",6696051323357632679337355483517574331329/6382067618968336,"[""6505831449903384/127425811142437129"",""17263074437068536/18203687306062447"",""1""]",120,1670998159481114967638499506376350552601/6382067618968336,482918468090042225647526357342765309701689/6382067618968336,"{""place"":""43"",""prime"":43,""valuation"":0,""unit_modulus"":43,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
124,10,"[""1818832216191620922377584839749119725/2361765604"",""16401346705253955618501307984131750/53676491"",""-429769218445259512614114245428125/4879681""]",-429769218445259512614114245428125/4879681,"[""-141412377661/16172436500"",""-255037646/73511075"",""1""]",124,560575057770420772538091872150802335025/682550259556,560575057770420772538091872150802335025/2361765604,"{""place"":""31"",""prime"":31,""valuation"":1,""unit_modulus"":31,""unit_residue"":18,""unit_is_square"":true,""is_square"":false}"
125,10,"[""2905505507536289604282846034445296187669283545625/24772589811290656608256"",""-1858488250441276892041004440832632217910057772125/12386294905645328304128"",""2791715363826085751291179018121728455528079890225/24772589811290656608256""]",2791715363826085751291179018121728455528079890225/24772589811290656608256,"[""713817169647836497825/685861497870117873529"",""-913177290019081039370/685861497870117873529"",""1""]",125,168812682101853056102795165538214417027337442735225/1789819613865749939946496,168812682101853056102795165538214417027337442735225/6193147452822664152064,"{""place"":""59"",""prime"":59,""valuation"":0,""unit_modulus"":59,""unit_residue"":43,""unit_is_square"":false,""is_square"":false}"
126,10,"[""-820830864323399309966828584305253501332975/522366776148295936"",""4037545429256775572143770007570861752815025/261183388074147968"",""9112303835106099913614836438874565007123025/522366776148295936""]",9112303835106099913614836438874565007123025/522366776148295936,"[""-27826348959319511/308909127762899049"",""91249125682112646/102969709254299683"",""1""]",126,16038765531917725437549037991117545122875625/9435249894178595344,16038765531917725437549037991117545122875625/32647923509268496,"{""place"":""41"",""prime"":41,""valuation"":0,""unit_modulus"":41,""unit_residue"":6,""unit_is_square"":false,""is_square"":false}"
128,14,"[""414503434095937180169129490921995107756420927422396561772907776/276050056062907285631017143000390625"",""-24295496265630593154662159108336242378704974903259957172621312/276050056062907285631017143000390625"",""-35848690341727906132050599847817682436011087373528141105112064/276050056062907285631017143000390625""]",-35848690341727906132050599847817682436011087373528141105112064/276050056062907285631017143000390625,"[""-3696069589/319657796"",""54159892/79914449"",""1""]",128,409099598377519493642914177727685393212344617711572994002147584/276050056062907285631017143000390625,118229783931103133662802197363301078638367594518644595266620651776/276050056062907285631017143000390625,"{""place"":""13"",""prime"":13,""valuation"":3,""unit_modulus"":13,""unit_residue"":11,""unit_is_square"":false,""is_square"":false}"
129,14,"[""37580770906349626382303057091873707498569868055347413297112243119761/92749039194891849213280484700748275602500"",""-2229134769270534328483955415988788659359591311138812921499755633091/23187259798722962303320121175187068900625"",""57894138722303793397000521029547571077907415889592246790236117790121/23187259798722962303320121175187068900625""]",57894138722303793397000521029547571077907415889592246790236117790121/23187259798722962303320121175187068900625,"[""2648391165531721/16319657296046724"",""-480402234813/12476802214103"",""1""]",129,43218990633241486449020329936863325741806236029579257755460167311089/92749039194891849213280484700748275602500,12490288293006789583766875351753501139382002212548405491327988352904721/92749039194891849213280484700748275602500,"{""place"":""23"",""prime"":23,""valuation"":0,""unit_modulus"":23,""unit_residue"":15,""unit_is_square"":false,""is_square"":false}"
130,14,"[""13823800109334326737080385698518830034564337429445154025/2013529349965017556432404736"",""543887551278704153085734188907403945299659491932119275/1006764674982508778216202368"",""-954166479416984771054433149183660149179796999035852975/2013529349965017556432404736""]",-954166479416984771054433149183660149179796999035852975/2013529349965017556432404736,"[""-5433377761/375030519"",""-142514914/125010173"",""1""]",130,1010491815878323846922871613949461035266760153073850750625/145477495534972518452241242176,1010491815878323846922871613949461035266760153073850750625/503382337491254389108101184,"{""place"":""7"",""prime"":7,""valuation"":2,""unit_modulus"":7,""unit_residue"":5,""unit_is_square"":false,""is_square"":false}"
131,14,"[""35179339347880303409368901563372364432318443378927914915225/579512175882364819747685998268416"",""-152043573282206884084329550868630960786688596768029578203565/289756087941182409873842999134208"",""490043372048782226049276661491491308880367034706062697394129/579512175882364819747685998268416""]",490043372048782226049276661491491308880367034706062697394129/579512175882364819747685998268416,"[""203145506154637225/2829789038052909409"",""-1755972069090868730/2829789038052909409"",""1""]",131,-232806263702163614212627920840580724844725855368571322429111/41869754707500858226770313374893056,-232806263702163614212627920840580724844725855368571322429111/144878043970591204936921499567104,"{""place"":""real"",""sign"":-1}"
132,14,"[""36468463423701663103607752949344195874009048507311716635756025/808188148418628053852193463499554816"",""3625484040710340463699729251976191769480353206266192974375675/404094074209314026926096731749777408"",""10052571117817128600848523885378449170850305413988643482320225/808188148418628053852193463499554816""]",10052571117817128600848523885378449170850305413988643482320225/808188148418628053852193463499554816,"[""308595133737/85064580113"",""82034967245286/113731343611081"",""1""]",132,2749914610415647380411912425257612552653315948594533895615173025/58391593723245876890820977737842835456,2749914610415647380411912425257612552653315948594533895615173025/202047037104657013463048365874888704,"{""place"":""7"",""prime"":7,""valuation"":2,""unit_modulus"":7,""unit_residue"":5,""unit_is_square"":false,""is_square"":false}"
133,14,"[""1421629699079969951968554418473990886113748005627841398626823868661913/27141970151979301892983234645581318400"",""1041967983158572297529240586512809350932037540847232109753654805604997/67854925379948254732458086613953296000"",""174596587906337049160123456126188119187306854345793040162994823877761/678549253799482547324580866139532960000""]",174596587906337049160123456126188119187306854345793040162994823877761/678549253799482547324580866139532960000,"[""3383327588275605825/16620852900430801"",""991909222437250770/16620852900430801"",""1""]",133,675265601034675738009697467731328288388740890511397163650914584709735609/12256295896753153511050241894645314090000,675265601034675738009697467731328288388740890511397163650914584709735609/42409328362467659207786304133720810000,"{""place"":""11"",""prime"":11,""valuation"":4,""unit_modulus"":11,""unit_residue"":8,""unit_is_square"":false,""is_square"":false}"
134,14,"[""-2865666000407057034053824636050817862445064858304296691640367293975/3756580530109304803870506004891834028916736"",""-8737867315983803143247448957839906505443867367170180377558613060325/1878290265054652401935253002445917014458368"",""101740193377544795363553112342875752400562261544051206892783919426225/3756580530109304803870506004891834028916736""]",101740193377544795363553112342875752400562261544051206892783919426225/3756580530109304803870506004891834028916736,"[""-52409295206663391/1860695499178674601"",""-319608403474097274/1860695499178674601"",""1""]",134,-200944549987521061295204275608118763549209465401209820089997351318975/271412943300397272079644058853435008589234176,-200944549987521061295204275608118763549209465401209820089997351318975/939145132527326200967626501222958507229184,"{""place"":""real"",""sign"":-1}"
135,14,"[""510183109505691330255773460609005646452973027288015660139657358400/6113426874293974362721470252337084561"",""217403141529545760511280683294180597237270518923555307478384281600/6113426874293974362721470252337084561"",""-12586265025784103946207612356428884384094459846038584445817958400/6113426874293974362721470252337084561""]",-12586265025784103946207612356428884384094459846038584445817958400/6113426874293974362721470252337084561,"[""-3317061353991889/81832213827264"",""-135081387399/7820356826"",""1""]",135,548156409965119623856325178037363260638592218729147056061405582400/6113426874293974362721470252337084561,158417202479919571294477976452797982324553151212723499201746213313600/6113426874293974362721470252337084561,"{""place"":""19"",""prime"":19,""valuation"":0,""unit_modulus"":19,""unit_residue"":13,""unit_is_square"":false,""is_square"":false}"
136,14,"[""31173040767317690467290933664490311737940820964053329105362496/12970001984451115758447890869140625"",""9767289596020729375652698787162008851555639466767023562677888/12970001984451115758447890869140625"",""1753491438092154187052025353287845018551571392588916151575616/12970001984451115758447890869140625""]",1753491438092154187052025353287845018551571392588916151575616/12970001984451115758447890869140625,"[""36134815744113529/2032592537163409"",""870918246082274/156353272089493"",""1""]",136,32951287107594114639753756731358315393983387591521905046749184/12970001984451115758447890869140625,9522921974094699130888835695362553148861199013949830558510514176/12970001984451115758447890869140625,"{""place"":""2"",""prime"":2,""valuation"":15,""unit_modulus"":8,""unit_residue"":1,""unit_is_square"":true,""is_square"":false}"
137,14,"[""525600326912002808689360752568383015123415443807535753176963998025/142685846227966784509597402316081729536"",""217241035513043091909455997248393468545095809491669686163887252675/71342923113983392254798701158040864768"",""134241527755897356991177233551611006821337521795216227513186940225/142685846227966784509597402316081729536""]",134241527755897356991177233551611006821337521795216227513186940225/142685846227966784509597402316081729536,"[""10658145950929/2722155452041"",""8810446053686/2722155452041"",""1""]",137,43816313462425570824727591078390831055914718381171271676119444416025/10309052389970600180818412317336904958976,43816313462425570824727591078390831055914718381171271676119444416025/35671461556991696127399350579020432384,"{""place"":""29"",""prime"":29,""valuation"":2,""unit_modulus"":29,""unit_residue"":27,""unit_is_square"":false,""is_square"":false}"
138,14,"[""-7859086039122564863064031244015509690832374238484375341247268083978975/6912905357961693193892417753695910725591511296"",""741874070746571903841486717380793487684256071341596848298745046925602425/3456452678980846596946208876847955362795755648"",""1696686190815899103036950507210944870089121734348588410525834899243038225/6912905357961693193892417753695910725591511296""]",1696686190815899103036950507210944870089121734348588410525834899243038225/6912905357961693193892417753695910725591511296,"[""-19123216822180235829119/4128482338105816530834289"",""7235166805958514429446/8273511699610854771211"",""1""]",138,5541878441761687804608668419263684829621603670691136859224003025208054225/124864353028183083314681795676132387480996672784,5541878441761687804608668419263684829621603670691136859224003025208054225/432056584872605824618276109605994420349469456,"{""place"":""7"",""prime"":7,""valuation"":3,""unit_modulus"":7,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
140,14,"[""164078753491939687413624383272813388349464477968955484236025/3252280554295583389476409839616"",""-18058891640678171252881615473284003908877730555385941964125/1626140277147791694738204919808"",""210584835583218199890434240006959475906842552126760715020625/3252280554295583389476409839616""]",210584835583218199890434240006959475906842552126760715020625/3252280554295583389476409839616,"[""444911488086321/571016116186825"",""-19587199883106/114203223237365"",""1""]",140,11868004083017589998439357536907684029362822146379903824764025/234977270047855899889670610912256,11868004083017589998439357536907684029362822146379903824764025/813070138573895847369102459904,"{""place"":""11"",""prime"":11,""valuation"":5,""unit_modulus"":11,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
141,14,"[""35465810871390248569774753915600903586659976776207710801356779362225/103528820535891338864362222926670977570244"",""-1389718340461873686865573164692177403870450365070857685228127540725/25882205133972834716090555731667744392561"",""-282189210191760754524709813187681004451418564890933893422044646775/25882205133972834716090555731667744392561""]",-282189210191760754524709813187681004451418564890933893422044646775/25882205133972834716090555731667744392561,"[""-112141192813963239481/3569074988290971836"",""4394222732985744541/892268747072742959"",""1""]",141,9955957988810656217381437402736700429994910345513499833642377610091225/29919829134872596931800682425807912517800516,9955957988810656217381437402736700429994910345513499833642377610091225/103528820535891338864362222926670977570244,"{""place"":""7"",""prime"":7,""valuation"":3,""unit_modulus"":7,""unit_residue"":1,""unit_is_square"":true,""is_square"":false}"
143,14,"[""253377726220101371246197271940306612215387468771717668793431696/137493977685204279477427785312890625"",""-357983345660842510835441765025113583576938424019389721882907168/1237445799166838515296850067816015625"",""-1293868884332032957069057189928791765279828155510180099231588464/11137012192501546637671650610344140625""]",-1293868884332032957069057189928791765279828155510180099231588464/11137012192501546637671650610344140625,"[""-38690241664441761/2439148590072479"",""6073699778010882/2439148590072479"",""1""]",143,2212748949430618220075026010763072366244010790639233912167667776/1237445799166838515296850067816015625,639484446385448665601682517110527913844519118494738600616455987264/1237445799166838515296850067816015625,"{""place"":""31"",""prime"":31,""valuation"":0,""unit_modulus"":31,""unit_residue"":26,""unit_is_square"":false,""is_square"":false}"
145,14,"[""236434969665487622773604359110840238436965469732025/113445198756337459456"",""-69705012236845718442561291927520617599813017311525/56722599378168729728"",""563626320655538220757114507659627526864947412901025/113445198756337459456""]",563626320655538220757114507659627526864947412901025/113445198756337459456,"[""37457422820083809/89293007016653449"",""-22086158572301658/89293007016653449"",""1""]",145,16573107967766875921811109643840593413721654925722225/8196415610145381445696,16573107967766875921811109643840593413721654925722225/28361299689084364864,"{""place"":""17"",""prime"":17,""valuation"":-2,""unit_modulus"":17,""unit_residue"":12,""unit_is_square"":false,""is_square"":false}"
146,14,"[""2231470172193976095503704367395684772273666797040082025568004/4519365005712988350852683078329225"",""31647937508600036492469421161686601712152007757905186374768/129124714448942524310076659380835"",""705910050895797299118287534717959167639527677475582970384/3689277555684072123145047410881""]",705910050895797299118287534717959167639527677475582970384/3689277555684072123145047410881,"[""1498667875378921/580764104972100"",""1771244351861/1382771678505"",""1""]",146,2453872340927461321669230446440238695731857546147449014936324/4519365005712988350852683078329225,709169106528036321962407599021228983066506830836612765316597636/4519365005712988350852683078329225,"{""place"":""13"",""prime"":13,""valuation"":0,""unit_modulus"":13,""unit_residue"":5,""unit_is_square"":false,""is_square"":false}"
