mask	hex	bit_vector	representative_norm	half_representative_norm
42402	0x0a5a2	01000101101001010	50	25/2
42404	0x0a5a4	00100101101001010	54	27/2
42405	0x0a5a5	10100101101001010	74	37/2
42406	0x0a5a6	01100101101001010	66	33/2
42407	0x0a5a7	11100101101001010	90	45/2
42410	0x0a5aa	01010101101001010	70	35/2
42413	0x0a5ad	10110101101001010	98	49/2
42418	0x0a5b2	01001101101001010	66	33/2
42421	0x0a5b5	10101101101001010	94	47/2
42422	0x0a5b6	01101101101001010	86	43/2
42429	0x0a5bd	10111101101001010	122	61/2
42431	0x0a5bf	11111101101001010	142	71/2
42434	0x0a5c2	01000011101001010	82	41/2
42436	0x0a5c4	00100011101001010	86	43/2
42442	0x0a5ca	01010011101001010	110	55/2
42444	0x0a5cc	00110011101001010	114	57/2
42445	0x0a5cd	10110011101001010	142	71/2
42447	0x0a5cf	11110011101001010	166	83/2
42450	0x0a5d2	01001011101001010	106	53/2
42451	0x0a5d3	11001011101001010	134	67/2
42455	0x0a5d7	11101011101001010	162	81/2
42457	0x0a5d9	10011011101001010	146	73/2
42459	0x0a5db	11011011101001010	170	85/2
42470	0x0a5e6	01100111101001010	82	41/2
42476	0x0a5ec	00110111101001010	90	45/2
42479	0x0a5ef	11110111101001010	138	69/2
42481	0x0a5f1	10001111101001010	90	45/2
42486	0x0a5f6	01101111101001010	106	53/2
42487	0x0a5f7	11101111101001010	134	67/2
42491	0x0a5fb	11011111101001010	142	71/2
42497	0x0a601	10000000011001010	26	13/2
42498	0x0a602	01000000011001010	22	11/2
42501	0x0a605	10100000011001010	38	19/2
42507	0x0a60b	11010000011001010	54	27/2
42521	0x0a619	10011000011001010	54	27/2
42527	0x0a61f	11111000011001010	90	45/2
42529	0x0a621	10000100011001010	22	11/2
42532	0x0a624	00100100011001010	18	9/2
42533	0x0a625	10100100011001010	30	15/2
42540	0x0a62c	00110100011001010	26	13/2
42541	0x0a62d	10110100011001010	42	21/2
42548	0x0a634	00101100011001010	26	13/2
42552	0x0a638	00011100011001010	26	13/2
42553	0x0a639	10011100011001010	42	21/2
42556	0x0a63c	00111100011001010	38	19/2
42561	0x0a641	10000010011001010	38	19/2
42563	0x0a643	11000010011001010	54	27/2
42567	0x0a647	11100010011001010	70	35/2
42568	0x0a648	00010010011001010	38	19/2
42581	0x0a655	10101010011001010	70	35/2
42583	0x0a657	11101010011001010	90	45/2
42585	0x0a659	10011010011001010	74	37/2
42589	0x0a65d	10111010011001010	94	47/2
42593	0x0a661	10000110011001010	30	15/2
42596	0x0a664	00100110011001010	26	13/2
42598	0x0a666	01100110011001010	38	19/2
42604	0x0a66c	00110110011001010	38	19/2
42607	0x0a66f	11110110011001010	74	37/2
42612	0x0a674	00101110011001010	38	19/2
42613	0x0a675	10101110011001010	54	27/2
42617	0x0a679	10011110011001010	58	29/2
42618	0x0a67a	01011110011001010	54	27/2
42620	0x0a67c	00111110011001010	54	27/2
42621	0x0a67d	10111110011001010	74	37/2
42622	0x0a67e	01111110011001010	70	35/2
42623	0x0a67f	11111110011001010	94	47/2
42624	0x0a680	00000001011001010	22	11/2
42627	0x0a683	11000001011001010	50	25/2
42628	0x0a684	00100001011001010	34	17/2
42629	0x0a685	10100001011001010	50	25/2
42631	0x0a687	11100001011001010	66	33/2
42633	0x0a689	10010001011001010	54	27/2
42635	0x0a68b	11010001011001010	70	35/2
42636	0x0a68c	00110001011001010	50	25/2
42637	0x0a68d	10110001011001010	70	35/2
42641	0x0a691	10001001011001010	50	25/2
42642	0x0a692	01001001011001010	46	23/2
42644	0x0a694	00101001011001010	50	25/2
42647	0x0a697	11101001011001010	86	43/2
42650	0x0a69a	01011001011001010	66	33/2
42651	0x0a69b	11011001011001010	90	45/2
42652	0x0a69c	00111001011001010	70	35/2
42657	0x0a6a1	10000101011001010	30	15/2
42660	0x0a6a4	00100101011001010	26	13/2
42663	0x0a6a7	11100101011001010	54	27/2
42666	0x0a6aa	01010101011001010	38	19/2
42667	0x0a6ab	11010101011001010	58	29/2
42668	0x0a6ac	00110101011001010	38	19/2
42670	0x0a6ae	01110101011001010	50	25/2
42677	0x0a6b5	10101101011001010	54	27/2
42681	0x0a6b9	10011101011001010	58	29/2
