rank	mask	hex	multiplicity	witness
27681	114196	0x1be14	20	2 0 3 2 3 -4 -8 2 -4 1 -1 -5 -1 3 -4 -1 -3
27682	114207	0x1be1f	20	1 -1 -1 -1 1 2 2 -2 0 -1 3 1 -1 -3 0 1 1
27683	114216	0x1be28	20	2 0 2 1 4 -5 -8 2 -4 1 -1 -5 -1 3 -4 -1 -3
27684	114230	0x1be36	20	0 1 1 2 3 -3 -6 2 0 1 -1 -5 -1 3 -2 -1 -3
27685	114345	0x1bea9	20	1 0 0 1 2 -3 -4 1 0 1 -1 -3 -1 3 -2 -1 -3
27686	114361	0x1beb9	20	1 -2 0 -1 1 1 2 -1 0 -1 1 1 1 -1 0 -1 -1
27687	114362	0x1beba	20	2 -1 0 -1 3 -1 -2 -1 -2 -1 1 -1 1 -1 -2 -1 -1
27688	114377	0x1bec9	20	1 0 2 3 4 -2 -7 1 -4 1 1 -5 -1 1 -4 1 -3
27689	114392	0x1bed8	20	0 0 0 1 1 0 -1 -1 0 1 1 -1 -1 -1 -2 1 -1
27690	114402	0x1bee2	20	0 1 0 2 2 -3 -5 1 0 1 -1 -3 -1 3 -2 -1 -3
27691	114411	0x1beeb	20	1 1 0 1 2 -3 -5 1 0 1 -1 -3 -1 3 -2 -1 -3
27692	114417	0x1bef1	20	1 0 0 0 1 -1 -1 -1 0 -1 -1 -1 1 1 0 -1 -1
27693	114446	0x1bf0e	20	0 1 1 1 2 -2 -4 0 -1 1 1 -3 -1 1 -2 -1 -1
27694	114503	0x1bf47	20	1 -1 1 0 0 -2 -1 2 -1 1 -1 -1 1 1 0 -1 -1
27695	114510	0x1bf4e	20	0 1 1 3 2 -4 -7 2 -1 1 -1 -5 -1 3 -2 -1 -3
27696	114530	0x1bf62	20	0 1 0 2 2 -3 -5 2 -1 1 -1 -3 -1 3 -2 -1 -3
27697	114546	0x1bf72	20	2 -1 0 0 1 -1 -1 0 -1 1 1 -1 -1 -1 -2 1 -1
27698	114565	0x1bf85	20	1 0 1 2 2 -2 -4 1 -1 1 -1 -3 -1 3 -2 -1 -3
27699	114569	0x1bf89	20	1 0 0 1 2 0 -2 -1 -1 1 1 -1 -1 -1 -2 1 -1
27700	114570	0x1bf8a	20	0 1 0 1 2 -2 -4 1 1 1 -1 -3 -1 3 -2 -1 -3
27701	114578	0x1bf92	20	2 -1 0 0 1 0 0 -1 -1 -1 1 -1 1 -1 0 -1 -1
27702	114580	0x1bf94	20	0 0 1 2 1 0 -2 -1 -1 1 1 -1 -1 -1 -2 1 -1
27703	114586	0x1bf9a	20	2 -1 0 -1 1 0 0 -1 -1 -1 1 1 1 -1 0 -1 -1
27704	114591	0x1bf9f	20	1 -1 -1 -1 1 2 2 -1 1 -1 1 1 1 -1 0 -1 -1
27705	114593	0x1bfa1	20	1 0 0 0 2 -1 -2 -1 -1 -1 -1 -1 1 1 0 -1 -1
27706	114595	0x1bfa3	20	1 -1 0 -2 0 1 2 -1 1 -1 1 1 1 -1 0 -1 -1
27707	114632	0x1bfc8	20	0 0 0 1 2 0 -3 -1 -1 1 1 -1 -1 1 -2 1 -1
27708	114642	0x1bfd2	20	2 -1 0 -2 1 0 1 -1 -1 -1 1 1 1 -1 0 -1 -1
27709	114646	0x1bfd6	20	0 1 1 2 3 -2 -5 1 -1 1 -1 -3 -1 3 -2 -1 -3
27710	114665	0x1bfe9	20	1 0 2 1 2 -3 -5 1 -1 1 -1 -3 -1 3 -2 -1 -3
27711	114709	0x1c015	20	1 0 1 2 3 -2 -6 2 -2 2 0 -4 -2 2 -3 1 -3
27712	114711	0x1c017	20	1 1 1 2 3 -4 -8 2 -2 2 0 -4 -2 4 -3 -1 -3
27713	114718	0x1c01e	20	0 1 1 3 3 -2 -6 2 -2 2 0 -4 -2 2 -3 1 -3
27714	114727	0x1c027	20	1 1 1 2 4 -5 -8 2 -2 2 0 -6 -2 4 -3 -1 -3
27715	114739	0x1c033	20	1 1 2 2 3 -5 -8 2 -2 2 0 -6 -2 4 -3 -1 -3
27716	114744	0x1c038	20	0 0 0 1 1 -1 -2 0 0 0 0 -2 0 0 -1 -1 -1
27717	114761	0x1c049	20	1 0 2 3 2 -2 -5 2 -2 2 0 -4 -2 2 -3 1 -3
27718	114764	0x1c04c	20	0 2 1 3 4 -4 -9 2 -2 2 0 -6 -2 4 -3 -1 -3
27719	114774	0x1c056	20	0 1 1 2 3 -4 -7 2 -2 2 0 -4 -2 4 -3 -1 -3
27720	114789	0x1c065	20	1 2 1 2 4 -5 -9 2 -2 2 0 -6 -2 4 -3 -1 -3
27721	114792	0x1c068	20	2 0 0 -1 0 -1 -1 0 0 0 0 0 0 0 -1 -1 -1
27722	114830	0x1c08e	20	2 -1 1 1 4 -4 -6 1 -4 0 0 -4 0 2 -3 -1 -3
27723	114832	0x1c090	20	0 0 0 0 1 0 0 -1 0 0 0 0 0 0 -1 -1 -1
27724	114839	0x1c097	20	1 -1 1 0 1 0 0 -1 0 0 0 0 0 0 -1 -1 -1
27725	114860	0x1c0ac	20	2 0 1 1 4 -3 -6 1 -4 0 0 -4 0 2 -3 -1 -3
27726	114872	0x1c0b8	20	2 0 2 1 3 -3 -6 1 -4 0 0 -4 0 2 -3 -1 -3
27727	114957	0x1c10d	20	1 0 1 1 2 -4 -6 2 -1 2 0 -4 -2 4 -3 -1 -3
27728	114966	0x1c116	20	0 1 1 2 3 -2 -6 2 -1 2 0 -4 -2 2 -3 1 -3
27729	114976	0x1c120	20	2 0 2 2 2 -3 -6 2 -3 2 0 -4 -2 2 -3 1 -3
27730	114977	0x1c121	20	1 0 2 2 2 -3 -6 2 -3 2 0 -4 -2 2 -3 1 -3
27731	114980	0x1c124	20	0 2 3 4 4 -7 -12 4 -3 4 -2 -8 -2 6 -5 -1 -5
27732	114994	0x1c132	20	2 -1 2 2 3 -3 -6 2 -3 2 0 -4 -2 2 -3 1 -3
27733	114996	0x1c134	20	0 2 1 2 3 -5 -8 2 -1 2 0 -6 -2 4 -3 -1 -3
27734	115007	0x1c13f	20	1 1 1 1 3 -3 -6 2 -1 2 0 -4 -2 4 -3 -1 -3
27735	115033	0x1c159	20	1 0 2 3 3 -2 -7 2 -3 2 0 -4 -2 2 -3 1 -3
27736	115049	0x1c169	20	1 0 0 1 2 -1 -3 0 -1 2 2 -2 -2 0 -3 1 -1
27737	115082	0x1c18a	20	0 1 2 3 2 -2 -6 1 -1 2 0 -4 -2 2 -3 1 -3
27738	115111	0x1c1a7	20	3 -1 1 0 4 -3 -6 1 -3 0 0 -4 0 2 -3 -1 -3
27739	115140	0x1c1c4	20	2 0 1 0 4 -4 -7 1 -3 0 0 -4 0 2 -3 -1 -3
27740	115147	0x1c1cb	20	1 -1 0 -1 0 0 1 -1 1 0 0 0 0 0 -1 -1 -1
27741	115148	0x1c1cc	20	2 0 1 1 4 -4 -7 1 -3 0 0 -4 0 2 -3 -1 -3
27742	115192	0x1c1f8	20	2 -2 0 -1 1 3 3 -3 -1 -2 2 2 0 -4 -1 1 1
27743	115213	0x1c20d	20	1 0 1 1 2 0 -4 0 -2 1 2 -2 -2 0 -3 1 -1
27744	115228	0x1c21c	20	2 0 1 1 3 -4 -6 2 -2 1 0 -4 -2 2 -3 -1 -3
27745	115230	0x1c21e	20	2 -1 -1 -1 1 0 0 0 0 -1 0 0 0 0 -1 -1 -1
27746	115239	0x1c227	20	1 1 3 4 4 -7 -12 4 -4 3 -2 -8 -2 6 -5 -1 -5
27747	115252	0x1c234	20	2 0 1 2 3 -3 -6 2 -2 1 0 -4 -2 2 -3 -1 -3
27748	115254	0x1c236	20	2 -1 -1 -2 1 -1 0 0 0 -1 0 0 0 0 -1 -1 -1
27749	115265	0x1c241	20	1 0 2 2 2 -2 -5 2 -2 1 0 -4 -2 2 -3 1 -3
27750	115294	0x1c25e	20	0 1 -1 1 1 -2 -3 0 0 1 0 -2 0 2 -1 -1 -1
27751	115312	0x1c270	20	2 0 2 2 3 -3 -7 2 -4 1 0 -4 -2 2 -3 1 -3
27752	115315	0x1c273	20	1 -1 0 -2 -1 1 3 0 0 -1 0 2 2 -2 1 -1 1
27753	115316	0x1c274	20	0 2 3 4 5 -7 -13 4 -4 3 -2 -8 -2 6 -5 -1 -5
27754	115317	0x1c275	20	1 0 1 2 3 -1 -5 0 -2 1 2 -4 -2 0 -3 1 -1
27755	115324	0x1c27c	20	2 0 1 1 3 -3 -5 2 -2 1 0 -4 -2 2 -3 -1 -3
27756	115345	0x1c291	20	1 0 2 2 3 -2 -6 1 -2 1 0 -4 -2 2 -3 1 -3
27757	115364	0x1c2a4	20	2 0 1 0 4 -3 -6 1 -2 1 0 -4 0 2 -3 -1 -3
27758	115377	0x1c2b1	20	1 0 0 0 1 1 0 -1 0 -1 0 0 0 0 -1 -1 -1
27759	115384	0x1c2b8	20	2 0 2 1 3 -3 -6 1 -2 1 0 -4 0 2 -3 -1 -3
27760	115401	0x1c2c9	20	1 0 0 -1 2 0 -1 -1 0 -1 0 0 0 0 -1 -1 -1
27761	115427	0x1c2e3	20	1 -1 0 0 0 3 3 -3 0 -1 2 2 0 -4 -1 1 1
27762	115435	0x1c2eb	20	1 -1 0 -1 0 3 3 -3 0 -1 2 2 0 -4 -1 1 1
