priority	mask	hex	multiplicity	witness_index	representative
48	51153	0x0c7d1	29	1	1 0 2 2 3 -2 -5 1 -3 1 1 -4 -2 0 -3 1 -2
48	51153	0x0c7d1	29	2	1 0 2 2 3 -2 -7 1 -3 1 1 -4 -2 2 -3 1 -2
48	51153	0x0c7d1	29	3	1 0 0 0 1 0 -1 -1 -1 -1 1 0 0 0 -1 -1 0
48	51153	0x0c7d1	29	4	1 0 2 2 3 -4 -7 1 -3 1 -1 -4 0 2 -3 -1 -2
49	52905	0x0cea9	29	1	1 0 2 1 2 -1 -4 1 -2 1 1 -3 -2 0 -3 1 -2
49	52905	0x0cea9	29	2	1 0 2 3 4 -3 -8 1 -4 1 1 -5 -2 2 -3 1 -2
49	52905	0x0cea9	29	3	1 -2 -2 -3 -2 5 8 -3 0 -3 3 5 2 -6 3 1 4
49	52905	0x0cea9	29	4	1 0 0 -1 2 -1 -2 -1 -2 -1 1 -1 0 0 -1 -1 0
50	57125	0x0df25	29	1	1 0 1 2 4 -5 -8 2 -3 1 -1 -5 -1 4 -3 -1 -4
50	57125	0x0df25	29	2	1 0 1 2 2 -1 -4 0 -1 1 1 -3 -1 0 -3 1 -2
50	57125	0x0df25	29	3	3 -2 1 0 2 -1 -2 0 -3 -1 1 -1 1 0 -1 -1 -2
50	57125	0x0df25	29	4	1 0 1 0 2 -1 -2 0 -1 -1 -1 -1 1 0 -1 -1 -2
51	57818	0x0e1da	29	1	0 1 0 1 1 -2 -3 1 1 2 0 -2 -2 3 -1 -1 -2
51	57818	0x0e1da	29	2	0 1 2 3 1 -2 -5 1 -1 2 0 -4 -2 1 -3 1 -2
51	57818	0x0e1da	29	3	0 1 2 3 3 -2 -7 1 -3 2 0 -4 -2 3 -3 1 -2
51	57818	0x0e1da	29	4	0 1 0 1 1 -2 -3 -1 -1 0 0 -2 0 1 -1 -1 0
52	59354	0x0e7da	29	1	0 1 0 1 1 -2 -3 1 1 1 -1 -2 -2 3 -1 -1 -2
52	59354	0x0e7da	29	2	0 1 2 3 3 -2 -7 1 -3 1 1 -4 -2 1 -3 1 -2
52	59354	0x0e7da	29	3	2 -1 2 1 3 -2 -5 1 -3 1 1 -4 -2 1 -3 1 -2
52	59354	0x0e7da	29	4	2 -1 0 -1 1 0 -1 -1 -1 -1 1 0 0 -1 -1 -1 0
53	93383	0x16cc7	29	1	1 -1 -1 0 0 0 1 -1 0 0 1 1 0 -1 -1 0 -1
53	93383	0x16cc7	29	2	3 -1 1 0 4 -2 -5 1 -4 0 1 -3 0 1 -3 0 -3
53	93383	0x16cc7	29	3	1 -1 1 0 2 0 -1 -1 -2 -2 1 -1 0 -1 -1 0 -1
53	93383	0x16cc7	29	4	1 -1 1 0 0 2 1 -1 0 0 1 1 0 -1 -1 0 -1
54	122669	0x1df2d	29	1	1 0 1 1 2 -3 -4 2 -1 1 -1 -3 -1 2 -3 -1 -3
54	122669	0x1df2d	29	2	1 0 1 1 4 -5 -8 2 -3 1 -1 -5 -1 4 -3 -1 -3
54	122669	0x1df2d	29	3	1 -2 -1 -3 -2 5 8 -2 1 -3 1 5 1 -4 3 1 3
54	122669	0x1df2d	29	4	1 0 1 1 2 -1 -4 0 -1 1 1 -3 -1 0 -3 1 -1
55	5953	0x01741	28	1	1 0 0 0 2 -2 -3 0 -1 1 1 -2 -1 2 -2 0 -2
55	5953	0x01741	28	2	1 0 0 0 2 -2 -3 0 -1 -1 -1 -2 1 2 0 -2 -2
55	5953	0x01741	28	3	1 -2 0 0 0 2 3 -2 -1 -1 1 2 1 -2 0 0 0
55	5953	0x01741	28	4	1 -2 0 -2 0 2 3 -2 1 -1 1 2 1 -2 0 0 0
56	7769	0x01e59	28	1	1 0 0 1 1 0 -1 0 0 1 1 -1 -1 0 -2 0 -2
56	7769	0x01e59	28	2	1 0 0 1 3 -2 -5 0 -2 1 1 -3 -1 2 -2 0 -2
56	7769	0x01e59	28	3	1 0 0 -1 1 -2 -1 0 0 -1 -1 -1 1 2 0 -2 -2
56	7769	0x01e59	28	4	1 0 0 -1 1 2 1 -2 0 -1 1 1 1 -2 0 0 0
57	12934	0x03286	28	1	2 -1 1 0 2 0 -2 -1 -2 -1 2 -2 -1 -1 -2 0 0
57	12934	0x03286	28	2	0 1 -1 0 0 0 0 -1 2 1 0 0 -1 1 0 0 0
57	12934	0x03286	28	3	0 1 1 2 2 -4 -6 3 0 3 -2 -4 -1 5 -2 -2 -4
57	12934	0x03286	28	4	0 1 1 2 2 -2 -4 1 0 1 0 -4 -1 1 -2 0 -2
58	15294	0x03bbe	28	1	0 1 1 1 1 -3 -4 1 1 1 -2 -3 -1 3 -2 -2 -2
58	15294	0x03bbe	28	2	2 -1 1 1 3 -1 -4 1 -3 1 2 -3 -1 1 -2 0 -2
58	15294	0x03bbe	28	3	0 1 1 1 1 -3 -4 3 -1 1 -2 -3 1 3 0 -2 -2
58	15294	0x03bbe	28	4	2 -1 1 1 3 -1 -4 1 -3 -1 0 -3 -1 1 -2 0 -2
