case,arm,family,stratum,success,cpu_seconds,calls,initial_rank,rank_lower_bound,literal_hit,independent_replay_cpu,search_phase_cpu,status
a6547c064e2c20cb7ebf,factor_free,103b2,shallow,True,8.040196000000037,10,18,19,True,1.8299721630000008,6.045654626999999,CERTIFIED_NEXT_DIRECTION
a6547c064e2c20cb7ebf,adaptive_local,103b2,shallow,True,5.696370000000002,51,18,19,True,2.2872330529999996,3.245812776,CERTIFIED_NEXT_DIRECTION
999ff9321a72be7a9518,adaptive_uniform,103b2,shallow,False,14.57198900000003,144,18,18,False,2.464564975000002,11.943199702,CALL_CAP
999ff9321a72be7a9518,adaptive_local,103b2,shallow,False,13.843852999999967,144,18,18,False,2.5033192989999993,11.175955406,CALL_CAP
999ff9321a72be7a9518,factor_free,103b2,shallow,False,28.66845699999999,48,18,18,False,1.6821676190000012,26.822987516,SURROGATE_EXHAUSTED
c7ebf3c52b4af3dfd8be,adaptive_local,103b2,shallow,True,3.2881760000000213,3,18,19,False,1.8084453370000002,1.317856356,CERTIFIED_NEXT_DIRECTION
c7ebf3c52b4af3dfd8be,factor_free,103b2,shallow,True,4.701649999999972,3,18,19,False,1.7566763979999993,2.78356132,CERTIFIED_NEXT_DIRECTION
c7ebf3c52b4af3dfd8be,adaptive_uniform,103b2,shallow,True,3.9715909999999894,20,18,19,False,1.9979917880000002,1.8059449829999998,CERTIFIED_NEXT_DIRECTION
fa9055c6456633f2a35a,adaptive_local,11952,shallow,True,3.950292999999988,16,18,19,True,2.036349298,1.7494061379999997,CERTIFIED_NEXT_DIRECTION
fa9055c6456633f2a35a,adaptive_uniform,11952,shallow,True,3.8474180000000615,15,18,19,True,2.026729323,1.6545680969999998,CERTIFIED_NEXT_DIRECTION
fa9055c6456633f2a35a,factor_free,11952,shallow,True,7.589733000000024,7,18,19,True,1.8746207630000002,5.549781037,CERTIFIED_NEXT_DIRECTION
94a648e29c1b587b8db2,factor_free,11952,shallow,True,8.728602999999907,10,18,19,True,1.9148722379999983,6.648487750000001,CERTIFIED_NEXT_DIRECTION
94a648e29c1b587b8db2,adaptive_uniform,11952,shallow,True,7.720455000000015,86,18,19,False,2.7928426060000007,4.760212772,CERTIFIED_NEXT_DIRECTION
94a648e29c1b587b8db2,adaptive_local,11952,shallow,True,6.127029999999991,59,18,19,False,2.6400322330000003,3.3169018409999995,CERTIFIED_NEXT_DIRECTION
84e0fef98da6445f70d0,factor_free,11952,shallow,True,5.914750000000026,6,18,19,True,1.8900786399999996,3.8568331639999998,CERTIFIED_NEXT_DIRECTION
84e0fef98da6445f70d0,adaptive_local,11952,shallow,True,3.324061000000029,4,18,19,False,1.8771524840000002,1.2833069369999999,CERTIFIED_NEXT_DIRECTION
84e0fef98da6445f70d0,adaptive_uniform,11952,shallow,True,4.161054000000036,22,18,19,False,2.1311275469999997,1.8653117709999998,CERTIFIED_NEXT_DIRECTION
8caed02cbed934c96d2f,adaptive_uniform,11952,shallow,False,25.360588000000007,144,18,18,False,2.512277747999999,22.679670862000002,CALL_CAP
8caed02cbed934c96d2f,factor_free,11952,shallow,False,32.55628300000001,47,18,18,False,1.7719325040000058,30.610484650999997,SURROGATE_EXHAUSTED
8caed02cbed934c96d2f,adaptive_local,11952,shallow,False,13.19442099999992,144,18,18,False,2.5833543189999997,10.441383245,CALL_CAP
2cc503b912f3a3d17a0f,adaptive_uniform,11952,shallow,True,3.2058700000000044,2,18,19,True,1.8285091949999994,1.211587734,CERTIFIED_NEXT_DIRECTION
2cc503b912f3a3d17a0f,adaptive_local,11952,shallow,True,3.2157090000000608,2,18,19,True,1.8417285869999998,1.2101322540000001,CERTIFIED_NEXT_DIRECTION
2cc503b912f3a3d17a0f,factor_free,11952,shallow,True,3.745634999999993,1,18,19,True,1.8275179189999997,1.7559262469999999,CERTIFIED_NEXT_DIRECTION
cef04cad4e7bfd4e7afd,adaptive_local,11952,shallow,True,3.3126839999998765,2,18,19,True,1.865201507,1.274737147,CERTIFIED_NEXT_DIRECTION
cef04cad4e7bfd4e7afd,factor_free,11952,shallow,True,4.201961000000097,2,18,19,True,1.804336289,2.235333495,CERTIFIED_NEXT_DIRECTION
cef04cad4e7bfd4e7afd,adaptive_uniform,11952,shallow,True,3.5198560000000043,8,18,19,False,1.9164585449999998,1.437634338,CERTIFIED_NEXT_DIRECTION
