trial	slot	rank_before	candidate_norm	orthogonal_height	orthogonal_ratio	new_block_dim	new_block_norm	new_block_projection_share	previous_coefficient	previous_abs_coefficient	previous_coeff_num	previous_coeff_den	previous_coeff_rational	previous_coeff_rational_error	previous_residual_corr	previous_energy_share	last_increment_corr	new_block_max_energy_share	new_block_last_energy_share	alpha_l2	alpha_max_abs	alpha_coefficients	alpha_rationals
112	1	17	65.72936440162137	0.31563221232183025	0.004801997025153714	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
112	2	18	59.223072885125546	0.5130157750442166	0.008662430874522647	1	18.96317613574948	0.3229970650546896	-7.751127482521443	7.751127482521443	-31	4	-7.75	0.0011274825214426798	1.0	1.0	1.0	1.0	1.0	7.751127482521443	7.751127482521443	-7.75112748252144	-31/4:0.00112748
112	3	19	65.82490921923355	1.1235798446688676	0.017069219813531714	2	40.99535360787748	0.6336091391654394	-8.209810230524306	8.209810230524306	-41	5	-8.2	0.009810230524307073	0.2413566918101778	0.8434557825012118	0.9183984878587355	0.8434557825012118	0.8434557825012118	68.6372041707565	68.14444080302437	-68.1444408030244 -8.20981023052431	-477/7:0.00158366 -41/5:0.00981023
112	4	20	66.79313470674361	1.5408963825607458	0.023069682076250462	3	37.40250056568224	0.5731987365684075	-5.546762361200922	5.546762361200922	-61	11	-5.545454545454546	0.001307815746375951	0.08783941003039154	0.9242350228361585	0.9613714281359513	0.9242350228361585	0.9242350228361585	395.0638363151855	392.2090624117196	-392.20906241172 -47.0820512881486 -5.54676236120092	-1961/5:0.00906241 -565/12:0.00128205 -61/11:0.00130782
113	1	17	66.91588143022665	0.4376184585737519	0.006539829547490273	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
113	2	18	59.723251590885	0.47380737014231755	0.007933382016571755	1	11.700635795165336	0.19748093756918403	5.170790171143507	5.170790171143507	31	6	5.166666666666667	0.004123504476839734	1.0	1.0	1.0	1.0	1.0	5.170790171143507	5.170790171143507	5.17079017114351	31/6:0.0041235
113	3	19	65.81520636351225	1.0672052929989349	0.016215178101919473	2	23.54107642610607	0.36357997215186366	6.645755290276681	6.645755290276681	73	11	6.636363636363637	0.009391653913044529	0.14073423210271868	0.8889230874577536	0.9428271779375866	0.8889230874577536	0.8889230874577536	37.40337097746138	36.80823409373723	-36.8082340937372 6.64575529027668	-184/5:0.00823409 73/11:0.00939165
113	4	20	61.874544872516765	3.6599267834533222	0.05915076694291737	3	35.54587054159388	0.6106004249175302	-5.631669224122573	5.631669224122573	-62	11	-5.636363636363637	0.004694412241063262	0.01714788413419507	0.9522107780063493	0.9758128806315017	0.9522107780063493	0.9522107780063493	218.72276916429934	215.20366813086068	-215.203668130861 38.6693066355193 -5.63166922412257	-1076/5:0.00366813 116/3:0.00263997 -62/11:0.00469441
114	1	17	62.18455821125819	0.29219183941828675	0.0046987845185878785	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
114	2	18	57.89870280331319	0.41757692811543023	0.007212198337741253	1	8.429306515525074	0.14664477056045613	-5.371083227063056	5.371083227063056	-43	8	-5.375	0.003916772936944035	1.0	1.0	1.0	1.0	1.0	5.371083227063056	5.371083227063056	-5.37108322706306	-43/8:0.00391677
114	3	19	66.75084817318955	0.6102482145050914	0.009142179181330572	2	1.5805089485396084	0.023896199150399193	-1.1315536828377937	1.1315536828377937	-9	8	-1.125	0.006553682837793673	0.6676630358575982	0.33829054594433167	0.5816274975827155	0.6617094540556683	0.33829054594433167	8.049499306686213	7.969568705469453	-7.96956870546945 -1.13155368283779	-8/1:0.0304313 -9/8:0.00655368
114	4	20	66.8638820913495	4.930973635340223	0.0737464454816357	3	4.631098899251614	0.07477606033214261	-2.4441646473361134	2.4441646473361134	-22	9	-2.4444444444444446	0.0002797971083312589	0.5393604699923561	0.7871969051546113	0.8872411764309698	0.7871969051546113	0.7871969051546113	13.0907884452924	12.786912039971822	-12.7869120399718 -1.37465696744206 -2.44416464733611	-115/9:0.00913426 -11/8:0.000343033 -22/9:0.000279797
115	1	17	57.40717288905217	0.3365482451616728	0.005862477251964697	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
115	2	18	53.74222040900655	0.43531527262103253	0.00810006116807334	1	10.658119257007776	0.19993881148678616	5.627514497551592	5.627514497551592	45	8	5.625	0.00251449755159161	1.0	1.0	1.0	1.0	1.0	5.627514497551592	5.627514497551592	5.62751449755159	45/8:0.0025145
115	3	19	59.92200884553724	0.5051865235444168	0.008430734103835725	2	31.383065254540323	0.5281848477939226	8.040396493575173	8.040396493575173	8	1	8.0	0.040396493575173054	0.12739655442397196	0.8967336673461442	0.9469602247962394	0.8967336673461442	0.8967336673461442	49.01457657587596	48.350602283099974	-48.3506022831 8.04039649357517	-532/11:0.0130341 8/1:0.0403965
115	4	20	65.11142803265876	0.8929910697583239	0.0137148131555403	3	45.34483407643997	0.7061030479866099	9.438756777700132	9.438756777700132	85	9	9.444444444444445	0.005687666744313091	0.15234827776148605	0.9925525966389788	0.9962693394052528	0.9925525966389788	0.9925525966389788	461.7797987139767	455.40210036982023	455.40210036982 -75.8974265016173 9.43875677770013	2277/5:0.00210037 -759/10:0.0025735 85/9:0.00568767
