any_second_direction_given_seed,arm,censored_or_stopped,certified_endpoints,classes,cohort,cpu_seconds,deep,family,gain_after_seed_phase,known_equations,later_acquiring_call_given_seed_and_exposure,previous_equations,ranks,rows,seed,trajectories_unknown
"[1, 1]",,0,12,"{""amplifier"": 1, ""no seed"": 11}",corrected60_mw16,,"[0, 12]",a1-fibration-03,0,0,"[1, 1]",0,"{""16"": 11, ""18"": 1}",12,"[1, 12]",0
"[2, 2]",,0,12,"{""amplifier"": 2, ""no seed"": 10}",corrected60_mw16,,"[0, 12]",a1-fibration-04,0,0,"[2, 2]",0,"{""16"": 10, ""20"": 1, ""23"": 1}",12,"[2, 12]",0
"[0, 0]",,0,12,"{""no seed"": 12}",corrected60_mw16,,"[0, 12]",a1-fibration-05,0,0,"[0, 0]",0,"{""16"": 12}",12,"[0, 12]",0
"[0, 0]",,0,48,"{""no seed"": 48}",det1092-record-scale-v1,,"[0, 48]",ALL,0,0,"[0, 0]",0,"{""17"": 48}",48,"[0, 48]",0
"[0, 0]",,0,48,"{""no seed"": 48}",det1092-record-scale-v1,,"[0, 48]",det1092,0,0,"[0, 0]",0,"{""17"": 48}",48,"[0, 48]",0
"[10, 10]",,0,12,"{""amplifier"": 5, ""deep amplifier"": 4, ""no seed"": 2, ""seed only"": 1}",discarded12_r17,,"[4, 12]",ALL,0,0,"[9, 10]",0,"{""17"": 2, ""19"": 1, ""21"": 1, ""23"": 3, ""24"": 1, ""25"": 3, ""26"": 1}",12,"[10, 12]",0
"[2, 2]",,0,2,"{""deep amplifier"": 2}",discarded12_r17,,"[2, 2]",074d9,0,0,"[2, 2]",0,"{""24"": 1, ""26"": 1}",2,"[2, 2]",0
"[2, 2]",,0,2,"{""deep amplifier"": 1, ""seed only"": 1}",discarded12_r17,,"[1, 2]",07ca9,0,0,"[1, 2]",0,"{""25"": 2}",2,"[2, 2]",0
"[0, 0]",,0,2,"{""no seed"": 2}",discarded12_r17,,"[0, 2]",08234,0,0,"[0, 0]",0,"{""17"": 2}",2,"[0, 2]",0
"[2, 2]",,0,2,"{""amplifier"": 2}",discarded12_r17,,"[0, 2]",08f72,0,0,"[2, 2]",0,"{""19"": 1, ""23"": 1}",2,"[2, 2]",0
"[2, 2]",,0,2,"{""amplifier"": 2}",discarded12_r17,,"[0, 2]",103b2,0,0,"[2, 2]",0,"{""23"": 2}",2,"[2, 2]",0
"[2, 2]",,0,2,"{""amplifier"": 1, ""deep amplifier"": 1}",discarded12_r17,,"[1, 2]",11952,0,0,"[2, 2]",0,"{""21"": 1, ""25"": 1}",2,"[2, 2]",0
"[20, 20]",,0,20,"{""amplifier"": 9, ""deep amplifier"": 8, ""seed only"": 3}",extended20_mw16,,"[8, 20]",ALL,0,2,"[17, 20]",8,"{""18"": 2, ""20"": 2, ""22"": 1, ""23"": 1, ""24"": 9, ""25"": 1, ""26"": 4}",20,"[20, 20]",0
"[4, 4]",,0,4,"{""amplifier"": 2, ""deep amplifier"": 2}",extended20_mw16,,"[2, 4]",a1-fibration-01,0,0,"[4, 4]",2,"{""23"": 1, ""24"": 1, ""26"": 2}",4,"[4, 4]",0
"[4, 4]",,0,4,"{""amplifier"": 3, ""deep amplifier"": 1}",extended20_mw16,,"[1, 4]",a1-fibration-02,0,0,"[4, 4]",0,"{""18"": 1, ""20"": 1, ""24"": 1, ""26"": 1}",4,"[4, 4]",0
"[4, 4]",,0,4,"{""amplifier"": 3, ""deep amplifier"": 1}",extended20_mw16,,"[1, 4]",a1-fibration-03,0,0,"[4, 4]",0,"{""18"": 1, ""20"": 1, ""24"": 2}",4,"[4, 4]",0
