attribution,batch_cpu_lower,batch_cpu_upper,batch_elapsed_lower,batch_elapsed_upper,call,deep_event,directions,id,point_search_cpu_sum,point_search_elapsed_sum,rank_after_call_attribution,rank_from_earlier_calls,timing_scope
ORIGINATING_CALL; may be certified by later reconciliation,0.0,227.115368637,0.0,322.5799230779958,123,False,1,broad-rank-v1:b-b50415de075f9f9a1afc,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,158.15927056700002,0.0,179.25702516800084,14,False,1,broad-rank-v1:b-830c00ab641fc46f4343,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,158.15927056700002,0.0,179.25702516800084,15,False,1,broad-rank-v1:b-830c00ab641fc46f4343,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,158.15927056700002,0.0,179.25702516800084,28,False,1,broad-rank-v1:b-830c00ab641fc46f4343,,,20,19,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,122.598141333,0.0,138.51121605199296,1,False,1,broad-rank-v1:b-dcc4800d393cceec40ef,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,122.598141333,240.379469218,138.51121605199296,266.504353456985,191,False,1,broad-rank-v1:b-dcc4800d393cceec40ef,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,219.987384679,0.0,297.95028946000093,47,False,1,broad-rank-v1:b-f9725f157ddb25d38779,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,201.562933882,0.0,223.68445198101108,69,False,1,broad-rank-v1:b-d76cc98d3fc5c644bff3,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,201.562933882,0.0,223.68445198101108,146,False,1,broad-rank-v1:b-d76cc98d3fc5c644bff3,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,139.74470886999998,0.0,157.52652990698698,9,False,1,broad-rank-v1:b-8c5c99ccf8c33105bb1c,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,319.61000725700006,0.0,416.5324662899948,1,False,2,broad-rank-v1:b-e374acf7da628c9b0226,,,19,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,319.61000725700006,0.0,416.5324662899948,4,False,1,broad-rank-v1:b-e374acf7da628c9b0226,,,20,19,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
