rank	shell_id	eligible_id	ade	root_rank	mw_rank	root_count	root_det	d_f	d_o	mw_height	short_norm	section_p_o	fiber_twist	vertical_integral	support_fibres	support_components	vertical_l1	vertical_max	reflection_count	nearest_section_lifts	section_root_shift	section_nonzero_pairings	root_coefficients	reduced	v
121	7865	7863	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-25782,285,2128,-38176,-8746,-13766,9682,-5014,15476,-3522,-17761,-9489,-21030,-15057,5068,-3616,-6483	6406,-66,-526,9485,2170,3418,-2404,1244,-3845,876,4412,2357,5224,3742,-1261,898,1612
122	7866	7864	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-19017,211,1572,-28159,-6451,-10157,7142,-3701,11416,-2597,-13102,-6999,-15510,-11105,3737,-2668,-4780	13171,-140,-1082,19502,4465,7027,-4944,2557,-7905,1801,9071,4847,10744,7694,-2592,1846,3315
123	7882	7880	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-2829,32,235,-4188,-959,-1512,1062,-552,1698,-386,-1949,-1042,-2306,-1651,555,-397,-710	29359,-319,-2419,43473,9957,15672,-11024,5706,-17623,4012,20224,10804,23948,17148,-5774,4117,7385
124	7883	7881	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-10566,117,872,-15646,-3584,-5641,3968,-2055,6343,-1443,-7279,-3889,-8619,-6171,2078,-1482,-2657	21622,-234,-1782,32015,7332,11543,-8118,4203,-12978,2955,14894,7957,17635,12628,-4251,3032,5438
125	7885	7883	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-14467,162,1197,-21421,-4907,-7728,5433,-2817,8685,-1975,-9968,-5325,-11798,-8447,2842,-2030,-3635	17721,-189,-1457,26240,6009,9456,-6653,3441,-10636,2423,12205,6521,14456,10352,-3487,2484,4460
126	7886	7884	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-16875,190,1394,-24986,-5726,-9011,6338,-3283,10130,-2304,-11627,-6211,-13765,-9854,3316,-2367,-4242	15313,-161,-1260,22675,5190,8173,-5748,2975,-9191,2094,10546,5635,12489,8945,-3013,2147,3853
127	7907	7905	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-8617,97,710,-12759,-2924,-4598,3236,-1674,5172,-1177,-5935,-3172,-7031,-5033,1695,-1208,-2168	23571,-254,-1944,34902,7992,12586,-8850,4584,-14149,3221,16238,8674,19223,13766,-4634,3306,5927
128	7909	7907	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-1852,23,154,-2742,-629,-989,696,-361,1112,-252,-1276,-682,-1511,-1081,364,-260,-465	30336,-328,-2500,44919,10287,16195,-11390,5897,-18209,4146,20897,11164,24743,17718,-5965,4254,7630
129	7910	7908	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,4299,-48,-357,6366,1457,2299,-1614,839,-2581,587,2962,1583,3504,2509,-843,604,1079	36487,-399,-3011,54027,12373,19483,-13700,7097,-21902,4985,25135,13429,29758,21308,-7172,5118,9174
130	7912	7910	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-20255,227,1672,-29992,-6872,-10814,7607,-3939,12159,-2766,-13954,-7455,-16523,-11829,3982,-2841,-5093	11933,-124,-982,17669,4044,6370,-4479,2319,-7162,1632,8219,4391,9731,6970,-2347,1673,3002
