observation_id,family,parameter,native_parameter,generic_subgroup_rank,retained_rank_lower_bound,retained_quotient_rank,full_curve_rank,cohort,phase,boxes,score_units,dictionary_coverage,dictionary_size,compatible_cover_count,simultaneous_carrier_genus,simultaneous_carrier_degree,split_quartet_count
rank_jump_retrospective_report_v1.json:ICARM-543,norm12-orbit-07ca9,,,17,29,12,UNKNOWN,,historic_or_prior,,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:ICARM-548,curve548-p31627,,,16,24,8,UNKNOWN,,historic_or_prior,,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:control-r21-t3_8,published-R17,3/8,3/8,17,21,4,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,25,385875969,33554432,12650
rank_jump_retrospective_report_v1.json:control-r25,published-R17,-2/377,-2/377,17,25,8,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,6,129,64,15
rank_jump_retrospective_report_v1.json:control-r26,published-R17,-308/251,-308/251,17,26,9,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,3,5,8,0
rank_jump_retrospective_report_v1.json:control-r27,published-R17,2456/135,2456/135,17,27,10,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,2,1,4,0
rank_jump_retrospective_report_v1.json:control-r28,published-R17,-9529/5471,-9529/5471,17,28,11,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,1,0,2,0
rank_jump_retrospective_report_v1.json:nagao-0001,published-R17,-5643/6760,-5643/6760,17,17,0,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,1,0,2,0
rank_jump_retrospective_report_v1.json:nagao-0002,published-R17,1452/7817,1452/7817,17,17,0,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
rank_jump_retrospective_report_v1.json:nagao-0003,published-R17,4298/8873,4298/8873,17,17,0,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
