orbit_mask	category	minimum_norm	reduced_basis_w	parent_MW17_w	lattice_class_at_minimum
78631	rational	10	1 1 -3 2 -2 -1 0 2 3 -1 0 2 -1 1 -2 0 1	1 -1 0 0 -1 -1 -1 0 1 0 1 -1 1 1 0 -2 1	2O+4F+phi(w)
78632	genus_one	8	0 0 0 -1 0 1 0 0 -1 1 -2 0 1 -1 0 0 1	0 0 -1 -1 1 -1 1 0 -1 0 1 -1 -1 1 0 0 1	2O+4F+phi(w)
78633	rational	10	1 0 0 -1 0 1 -2 0 1 -1 2 -2 -1 1 2 0 -1	1 0 -1 1 1 1 1 -2 -1 0 1 1 1 -3 0 2 -1	2O+4F+phi(w)
78634	rational	10	2 1 -2 1 -2 1 0 0 -1 -1 0 0 -1 1 2 0 -1	0 1 1 1 1 3 1 0 -1 0 -1 1 1 -5 -2 2 -1	2O+4F+phi(w)
78635	genus_one	8	1 1 -2 1 -2 1 0 2 1 -1 0 0 -1 1 0 0 1	1 -1 -1 1 1 -1 1 0 -1 0 1 -1 1 -1 0 0 1	2O+4F+phi(w)
78637	genus_one	8	-1 0 1 -1 0 1 0 0 -1 1 -2 0 1 -1 0 0 1	-1 0 -1 0 1 -1 1 0 -1 0 1 -1 -1 1 0 0 1	2O+4F+phi(w)
78638	genus_one	8	2 1 -1 1 -2 1 0 0 -1 -1 0 0 -1 1 2 0 -1	0 1 1 2 1 3 1 0 -1 0 -1 1 1 -5 -2 2 -1	2O+4F+phi(w)
78639	rational	10	-3 -1 3 -1 2 1 0 -2 -1 1 0 -2 1 -1 0 0 -1	-1 1 1 -2 1 -1 -1 0 1 0 1 1 -1 1 0 0 -1	2O+4F+phi(w)
78640	rational	10	2 0 0 0 -1 -1 0 0 -1 1 0 0 -1 1 2 0 -1	2 0 -2 1 1 1 2 -2 -1 -2 1 1 1 -3 0 2 -1	2O+4F+phi(w)
78641	genus_one	8	1 0 -2 0 -1 1 0 0 1 -1 0 0 -1 -1 0 0 -1	1 0 0 -1 1 1 0 0 -1 0 1 1 -1 -1 0 0 -1	2O+4F+phi(w)
78642	rational	10	0 -1 2 -2 1 1 0 0 -1 -1 2 -2 1 1 2 -2 -1	0 -1 -2 -1 1 -1 0 0 -1 0 1 -1 -1 3 2 0 -1	2O+4F+phi(w)
