atlas	direction	subgroup_rank	height	coordinate	cheap_representatives	contained	base_orbit	parity	extension_bits	quartic_bits	old_policy_parity_selected	old_policy_exact_centre_selected
earliest_support	residual-strict-01	26	56989581	-56989581/37282789	0	False	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 64677}"	13511560	103	119		
earliest_support	residual-strict-02	26	2411	-2411/2010	1	False	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 58145}"	61894383	472	122		
earliest_support	residual-strict-03	26	4294281	4294281/70522	0	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 1639, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	614	0	123		
earliest_support	residual-strict-04	26	1215	1215/1103	1	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 64677}"	13511560	103	119		
earliest_support	residual-strict-05	26	262960073	168382853/262960073	0	False	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 117420}"	95909	0	120		
earliest_support	residual-strict-06	26	1215	1215/1103	2	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 64677}"	13511560	103	119		
earliest_support	residual-strict-07	26	3021311	-3021311/1034643	0	False	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 58145}"	61894383	472	122		
earliest_support	recovered-local-01	27	1	-1/0	43	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 115350, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	94938	0	132		
earliest_support	recovered-local-02	27	1	-1/0	44	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 89501, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	101481	0	128		
earliest_support	recovered-local-03	27	1215	1215/1103	4	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 64677}"	13511560	103	119		
earliest_support	recovered-local-04	27	43	43/1	15	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 109599, ""category"": ""genus_one_bisection_lattice_candidate"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 2>/<bound method Rational.denominator of 2>"", ""minimum_generic_MW17_norm"": 8}"	115603	0	125		
earliest_support	recovered-strict-01	27	1215	1215/1103	2	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 64677}"	13511560	103	119		
earliest_support	recovered-strict-02	27	1215	1215/1103	2	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 64677}"	13511560	103	119		
earliest_support	recovered-strict-03	27	1215	1215/1103	2	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 64677}"	13511560	103	119		
earliest_support	residual-strict-01	27	373	373/4	1	False	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 106210}"	88314696	673	125		
earliest_support	residual-strict-02	27	1215	1215/1103	2	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 64677}"	13511560	103	119		
earliest_support	residual-strict-03	27	37	22/37	1	False	"{""generic_shell"": ""genus-one nearby norm-8"", ""orbit_mask"": 17845}"	33334913	254	119		
earliest_support	residual-strict-04	27	1215	1215/1103	2	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 64677}"	13511560	103	119		
earliest_support	residual-strict-05	27	262960073	168382853/262960073	0	False	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 117420}"	95909	0	120		
earliest_support	residual-strict-06	27	1215	1215/1103	3	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 64677}"	13511560	103	119		
earliest_support	residual-strict-07	27	2521926	-2521926/491	0	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 114674, ""category"": ""genus_one_bisection_lattice_candidate"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 2>/<bound method Rational.denominator of 2>"", ""minimum_generic_MW17_norm"": 8}"	124424	0	142		
earliest_support	recovered-local-01	28	1	-1/0	44	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 115350, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	94938	0	132		
earliest_support	recovered-local-02	28	1	-1/0	46	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 89501, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	101481	0	128		
earliest_support	recovered-local-03	28	373	373/4	6	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 106210}"	88314696	673	125		
earliest_support	recovered-local-04	28	43	43/1	17	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 109599, ""category"": ""genus_one_bisection_lattice_candidate"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 2>/<bound method Rational.denominator of 2>"", ""minimum_generic_MW17_norm"": 8}"	115603	0	125		
earliest_support	recovered-strict-01	28	373	373/4	3	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 106210}"	88314696	673	125		
earliest_support	recovered-strict-02	28	373	373/4	3	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 106210}"	88314696	673	125		
earliest_support	recovered-strict-03	28	373	373/4	3	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 106210}"	88314696	673	125		
earliest_support	residual-strict-01	28	373	373/4	3	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 106210}"	88314696	673	125		
earliest_support	residual-strict-02	28	373	373/4	3	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 106210}"	88314696	673	125		
earliest_support	residual-strict-03	28	37	22/37	1	False	"{""generic_shell"": ""genus-one nearby norm-8"", ""orbit_mask"": 17845}"	33334913	254	119		
earliest_support	residual-strict-04	28	373	373/4	3	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 106210}"	88314696	673	125		
earliest_support	residual-strict-05	28	368	-368/219	1	False	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 4761}"	232268099	1772	121		
earliest_support	residual-strict-06	28	373	373/4	4	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 106210}"	88314696	673	125		
earliest_support	residual-strict-07	28	286	-286/249	1	False	"{""generic_shell"": ""genus-one nearby norm-8"", ""orbit_mask"": 114326}"	196993680	1502	120		
earliest_support	recovered-local-01	29	1	-1/0	45	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 115350, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	94938	0	132		
