mask	representative
15358	0 1 1 1 3 -5 -7 3 -1 1 -2 -5 -1 5 -2 -2 -4
21578	2 -1 2 1 2 0 -3 0 -2 0 1 -2 -1 0 -3 0 -2
21578	0 1 2 3 4 -4 -9 2 -2 2 -1 -6 -1 4 -3 0 -4
21578	0 1 0 1 2 -2 -3 0 0 0 -1 -2 1 2 -1 -2 -2
21578	2 -1 0 -1 2 0 -1 -2 -2 -2 1 0 1 -2 -1 0 0
22733	1 0 -1 -1 2 0 -1 -1 0 0 2 -1 -1 0 -1 0 0
22733	1 0 1 1 2 -2 -5 1 -2 0 0 -3 -1 2 -3 0 -2
22733	1 0 1 1 2 -4 -5 1 -2 2 0 -3 -1 2 -3 0 -2
22733	1 0 1 1 2 -2 -5 1 -2 2 0 -3 -1 2 -3 0 -2
26400	0 0 0 0 0 1 0 -2 1 -1 1 0 0 -1 -1 0 0
26400	0 0 0 0 2 1 0 -2 -1 -1 1 0 0 -1 -1 0 0
26400	2 0 2 2 4 -5 -8 2 -3 1 -1 -6 0 3 -3 -2 -4
26400	2 -2 0 0 2 1 0 0 -1 -1 1 0 0 -1 -1 0 -2
28216	0 0 0 1 1 1 0 -2 0 -1 1 -1 0 -1 -1 0 0
28216	0 0 0 1 -1 -1 0 2 0 1 -1 -1 0 1 1 0 0
28216	0 0 0 1 1 -1 -2 0 0 1 1 -1 0 1 -1 0 -2
28216	2 -2 0 -1 1 3 2 -2 -2 -1 3 1 0 -3 -1 2 0
32909	1 -2 -1 -3 -2 2 6 -1 0 -2 0 4 2 -2 2 -1 2
32909	1 0 1 1 2 -2 -4 1 -2 2 0 -2 -2 2 -2 1 -2
32909	1 0 1 1 2 -2 -4 1 -2 0 0 -2 0 0 -2 -1 -2
32909	3 -2 1 -1 2 -2 -2 1 -2 0 0 -2 0 0 -2 -1 -2
35269	1 0 1 2 2 -2 -5 1 -1 2 0 -3 -2 2 -2 1 -2
35269	1 -2 -1 -2 -2 2 5 -1 1 -2 0 3 2 -2 2 -1 2
35269	1 0 -1 -2 0 0 1 -1 1 0 0 1 0 0 0 -1 0
35269	1 0 1 0 0 0 -1 1 -1 0 0 -1 0 0 0 1 0
36805	1 0 1 2 2 0 -3 1 -1 1 1 -3 -2 0 -2 1 -2
36805	1 0 1 2 2 -2 -5 1 -3 1 1 -3 -2 2 -2 1 -2
36805	1 0 -1 0 2 0 -1 -1 -1 -1 1 -1 0 0 0 -1 0
36805	1 0 -1 -2 0 0 1 -1 1 -1 1 1 0 0 0 -1 0
43403	1 1 2 3 4 -6 -10 3 -3 2 -2 -7 -2 5 -4 -1 -4
43403	1 1 0 1 2 -2 -4 1 -1 0 0 -3 0 1 -2 -1 -2
43403	1 -1 0 -1 2 -2 -2 1 -1 0 0 -1 0 1 -2 -1 -2
43403	1 -1 0 1 2 0 -2 -1 -3 0 2 -1 0 -1 -2 1 0
47011	1 1 0 0 2 -3 -4 1 -1 1 -1 -2 -1 3 -2 -1 -2
47011	1 -1 0 0 0 -1 0 1 -1 -1 -1 0 1 1 2 -1 0
47011	1 -1 0 -2 -2 1 4 1 1 -1 -1 2 1 -1 2 -1 0
47011	1 1 2 2 4 -5 -10 3 -3 3 -1 -6 -1 5 -4 -1 -4
51153	1 0 2 2 3 -2 -5 1 -3 1 1 -4 -2 0 -3 1 -2
51153	1 0 2 2 3 -2 -7 1 -3 1 1 -4 -2 2 -3 1 -2
51153	1 0 0 0 1 0 -1 -1 -1 -1 1 0 0 0 -1 -1 0
51153	1 0 2 2 3 -4 -7 1 -3 1 -1 -4 0 2 -3 -1 -2
52905	1 0 2 1 2 -1 -4 1 -2 1 1 -3 -2 0 -3 1 -2
52905	1 0 2 3 4 -3 -8 1 -4 1 1 -5 -2 2 -3 1 -2
52905	1 -2 -2 -3 -2 5 8 -3 0 -3 3 5 2 -6 3 1 4
52905	1 0 0 -1 2 -1 -2 -1 -2 -1 1 -1 0 0 -1 -1 0
57125	1 0 1 2 4 -5 -8 2 -3 1 -1 -5 -1 4 -3 -1 -4
57125	1 0 1 2 2 -1 -4 0 -1 1 1 -3 -1 0 -3 1 -2
57125	3 -2 1 0 2 -1 -2 0 -3 -1 1 -1 1 0 -1 -1 -2
57125	1 0 1 0 2 -1 -2 0 -1 -1 -1 -1 1 0 -1 -1 -2
57818	0 1 0 1 1 -2 -3 1 1 2 0 -2 -2 3 -1 -1 -2
57818	0 1 2 3 1 -2 -5 1 -1 2 0 -4 -2 1 -3 1 -2
57818	0 1 2 3 3 -2 -7 1 -3 2 0 -4 -2 3 -3 1 -2
57818	0 1 0 1 1 -2 -3 -1 -1 0 0 -2 0 1 -1 -1 0
59354	0 1 0 1 1 -2 -3 1 1 1 -1 -2 -2 3 -1 -1 -2
59354	0 1 2 3 3 -2 -7 1 -3 1 1 -4 -2 1 -3 1 -2
59354	2 -1 2 1 3 -2 -5 1 -3 1 1 -4 -2 1 -3 1 -2
59354	2 -1 0 -1 1 0 -1 -1 -1 -1 1 0 0 -1 -1 -1 0
93383	1 -1 -1 0 0 0 1 -1 0 0 1 1 0 -1 -1 0 -1
93383	3 -1 1 0 4 -2 -5 1 -4 0 1 -3 0 1 -3 0 -3
93383	1 -1 1 0 2 0 -1 -1 -2 -2 1 -1 0 -1 -1 0 -1
