priority	mask	hex	multiplicity	witness
98	1097	0x00449	26	1 0 0 1 2 -2 -3 0 -2 0 1 -2 0 0 -2 0 -2
99	93271	0x16c57	27	1 1 1 2 3 -4 -7 2 -2 2 1 -5 -2 3 -3 0 -3
100	80392	0x13a08	26	0 2 0 1 2 -2 -4 0 0 1 0 -3 -1 1 -2 0 -1
101	54685	0x0d59d	26	1 0 -1 -1 1 0 0 -1 1 0 1 0 -1 0 -1 -1 0
102	100187	0x1875b	27	1 -1 0 1 1 0 -1 0 -1 1 1 0 -2 0 -2 1 -1
103	28328	0x06ea8	27	2 0 2 1 2 -1 -4 1 -2 1 1 -3 -2 1 -3 0 -2
104	93188	0x16c04	26	2 0 1 2 4 -4 -8 2 -4 2 1 -5 -2 3 -3 0 -3
105	100111	0x1870f	26	1 1 1 1 2 -4 -6 2 -1 1 -1 -4 -2 4 -2 -1 -3
106	100525	0x188ad	26	1 0 -1 -1 0 1 2 -1 2 0 0 1 0 0 0 -1 -1
107	113208	0x1ba38	26	0 2 2 3 3 -3 -8 2 -2 3 0 -5 -3 3 -4 1 -3
108	91078	0x163c6	26	0 1 1 2 2 -2 -5 1 -1 1 0 -4 -2 1 -3 0 -1
109	6560	0x019a0	27	2 0 0 0 2 -3 -4 1 -1 0 0 -3 -1 2 -2 -2 -2
110	82313	0x14189	26	3 -2 0 -1 2 0 0 -1 -3 -2 2 0 0 -2 -1 0 -1
111	7765	0x01e55	26	1 0 1 0 1 0 -1 0 0 1 1 -1 -1 0 -2 0 -2
112	38429	0x0961d	27	1 0 1 1 3 -4 -6 2 -2 1 -1 -4 -1 4 -2 -1 -4
113	7502	0x01d4e	27	2 -1 1 -1 2 0 -1 0 -1 0 1 -1 -1 0 -2 0 -2
114	60630	0x0ecd6	27	0 1 1 2 3 -2 -5 1 -2 2 1 -3 -2 1 -3 1 -2
115	39458	0x09a22	26	2 -1 0 0 2 -1 -2 0 -2 1 2 -1 -1 0 -2 1 -2
116	101262	0x18b8e	26	0 1 1 1 0 -4 -4 3 -1 1 -2 -3 0 2 0 -1 -1
117	64338	0x0fb52	26	2 -1 0 0 1 2 1 -2 -1 -1 2 1 -1 -3 -1 1 0
118	8153	0x01fd9	26	1 0 0 1 3 -2 -5 1 -3 1 1 -3 -1 2 -2 0 -2
119	38428	0x0961c	26	2 0 1 1 3 -4 -6 2 -2 1 -1 -4 -1 4 -2 -1 -4
120	69608	0x10fe8	26	2 0 2 1 4 -3 -7 1 -3 1 1 -5 -2 2 -4 0 -3
