observation_id,family,parameter,generic_subgroup_rank,retained_rank_lower_bound,retained_quotient_rank,full_curve_rank,cohort,phase,boxes,score_units,dictionary_coverage,dictionary_size,compatible_cover_count,realizable_defect_span_exact,collision_support_size,rational_relation_component_count,split_triple_count,split_triples_with_some_fourth,triple_fourth_incidences,split_quartet_count,simultaneous_carrier_genus,simultaneous_carrier_degree
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:54,published-R17,3419/3564,17,19,2,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94017861508878,COMPLETE_NATIVE_ATLAS,39120,1,0,0,NOT_APPLICABLE,0,0,0,0,0,2
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:55,published-R17,-1853/270,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94008100471027,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:56,published-R17,2762/3203,17,19,2,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94006956919151,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:57,published-R17,-511/2711,17,18,1,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,93984039017275,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:58,published-R17,-1561/3133,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,93955181295586,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:59,published-R17,754/3427,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,93915605841185,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:60,published-R17,-1599/3584,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,93906170072956,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:61,published-R17,611/4020,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,93906169295979,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:62,published-R17,2108/1939,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,93901050384619,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:63,published-R17,-894/749,17,20,3,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,93898430076303,COMPLETE_NATIVE_ATLAS,39120,1,0,0,NOT_APPLICABLE,0,0,0,0,0,2
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:1,published-R17,-1121/9525,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,99485401486189,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:3,published-R17,11744/9849,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,99465106822511,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:4,published-R17,10126/15275,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,98809920228272,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:5,published-R17,13969/15813,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,98609330489014,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:6,published-R17,-848/9373,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,98399601262397,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:7,published-R17,4250/9093,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,98358486733377,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:8,published-R17,15850/13287,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,98326482086191,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:9,published-R17,13833/10535,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,98108566910080,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:11,published-R17,5653/7526,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97994359219572,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:12,published-R17,-5284/455,17,19,2,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97951965667516,COMPLETE_NATIVE_ATLAS,39120,1,0,0,NOT_APPLICABLE,0,0,0,0,0,2
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:13,published-R17,9629/2857,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97950641445645,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:14,published-R17,-8921/2715,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97775217693214,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:15,published-R17,-373/12028,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97632064165910,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
