RATIONAL_NAGAO_LOCAL_TABLE_V1
F CURVE302_DET1092_MW17 8 12
B D 8
P 149
1 -12 329985765113
1 -24 659971530226
1 -16 439981020151
1 -15 412482206391
1 -11 302486951353
1 -24 659971530226
1 -27 742467971504
1 0 0
1 -22 604973902707
1 -21 577475088948
1 -8 219990510075
1 0 0
P 199
1 9 -239395695591
1 -21 558589956378
1 -25 664988043307
1 18 -478791391181
1 -20 531990434646
1 -16 425592347717
1 -2 53199043465
1 -18 478791391181
1 -12 319194260787
1 8 -212796173858
1 -25 664988043307
1 -20 531990434646
1 -20 531990434646
1 -16 425592347717
1 -26 691587565039
1 -16 425592347717
1 -26 691587565039
1 -26 691587565039
1 -11 292594739055
1 -25 664988043307
1 -26 691587565039
1 -10 265995217323
1 -20 531990434646
1 -11 292594739055
1 -18 478791391181
1 -21 558589956378
1 -19 505390912913
1 -24 638388521575
1 -28 744786608504
1 -24 638388521575
1 -7 186196652126
1 -24 638388521575
1 -19 505390912913
1 -24 638388521575
1 -19 505390912913
1 -18 478791391181
1 -25 664988043307
1 -21 558589956378
1 -11 292594739055
1 -7 186196652126
1 -13 345793782520
1 -4 106398086929
1 -18 478791391181
1 4 -106398086929
1 -20 531990434646
1 -14 372393304252
1 -21 558589956378
1 -20 531990434646
1 -23 611788999843
1 -26 691587565039
1 -7 186196652126
1 -21 558589956378
1 -20 531990434646
1 -18 478791391181
1 -6 159597130394
1 -20 531990434646
1 -10 265995217323
1 -10 265995217323
1 -3 79798565197
1 -20 531990434646
1 -10 265995217323
1 -20 531990434646
1 -24 638388521575
1 -22 585189478110
1 -27 718187086772
1 -24 638388521575
1 -8 212796173858
1 -20 531990434646
1 -5 132997608661
1 -10 265995217323
1 -22 585189478110
1 16 -425592347717
1 -24 638388521575
1 -24 638388521575
1 -9 239395695591
1 -22 585189478110
1 -21 558589956378
1 -24 638388521575
1 -24 638388521575
1 -24 638388521575
1 -20 531990434646
1 -23 611788999843
1 -19 505390912913
1 -16 425592347717
1 -20 531990434646
1 -18 478791391181
1 -4 106398086929
1 -19 505390912913
1 -20 531990434646
1 -5 132997608661
1 -16 425592347717
1 -26 691587565039
1 -28 744786608504
1 -24 638388521575
1 -23 611788999843
1 -14 372393304252
1 -23 611788999843
1 -26 691587565039
1 -22 585189478110
1 -27 718187086772
1 -9 239395695591
1 -8 212796173858
1 -16 425592347717
1 -14 372393304252
1 -20 531990434646
1 -24 638388521575
1 -17 452191869449
1 -25 664988043307
1 -24 638388521575
1 -16 425592347717
1 8 -212796173858
1 -11 292594739055
1 -8 212796173858
1 -21 558589956378
1 -19 505390912913
1 -7 186196652126
1 -24 638388521575
1 -28 744786608504
1 -25 664988043307
1 -18 478791391181
1 -21 558589956378
1 -12 319194260787
1 -20 531990434646
1 -21 558589956378
1 -25 664988043307
1 -11 292594739055
1 -11 292594739055
1 -19 505390912913
1 -24 638388521575
1 -27 718187086772
1 -1 26599521732
1 -24 638388521575
1 -26 691587565039
1 -9 239395695591
1 15 -398992825984
1 -2 53199043465
1 -28 744786608504
1 -20 531990434646
1 -24 638388521575
1 -14 372393304252
1 -16 425592347717
1 -10 265995217323
1 -26 691587565039
1 -23 611788999843
1 -14 372393304252
1 3 -79798565197
1 -17 452191869449
1 -23 611788999843
1 -4 106398086929
1 -15 398992825984
1 -24 638388521575
1 2 -53199043465
1 -18 478791391181
1 -24 638388521575
1 -15 398992825984
1 -18 478791391181
1 -17 452191869449
1 -27 718187086772
1 7 -186196652126
1 20 -531990434646
1 -20 531990434646
1 -14 372393304252
1 -10 265995217323
1 -10 265995217323
1 -16 425592347717
1 -16 425592347717
1 -12 319194260787
1 -16 425592347717
1 -14 372393304252
1 -10 265995217323
1 -6 159597130394
1 -20 531990434646
1 -21 558589956378
1 -20 531990434646
1 -26 691587565039
1 -19 505390912913
1 -16 425592347717
1 -24 638388521575
1 -26 691587565039
1 -14 372393304252
1 -25 664988043307
1 -28 744786608504
1 -9 239395695591
1 4 -106398086929
1 -26 691587565039
1 -20 531990434646
1 -20 531990434646
1 -24 638388521575
1 -12 319194260787
1 -14 372393304252
1 -27 718187086772
1 -25 664988043307
1 -15 398992825984
1 -16 425592347717
1 -20 531990434646
1 0 0
1 -8 212796173858
1 -16 425592347717
1 -20 531990434646
1 -8 212796173858
P 227
1 -21 501867622763
1 -30 716953746804
1 -18 430172248082
1 -12 286781498721
1 -25 597461455670
1 20 -477969164536
1 -22 525766080989
1 -23 549664539216
1 -24 573562997443
1 -12 286781498721
1 -18 430172248082
1 -18 430172248082
1 -14 334578415175
1 -23 549664539216
1 -25 597461455670
1 -4 95593832907
1 -29 693055288577
1 -28 669156830350
1 -21 501867622763
1 -13 310679956948
1 12 -286781498721
1 -6 143390749361
1 -22 525766080989
1 -3 71695374680
1 -9 215086124041
1 1 -23898458227
1 -24 573562997443
1 -24 573562997443
1 -28 669156830350
1 -4 95593832907
1 -18 430172248082
1 -12 286781498721
1 9 -215086124041
1 -20 477969164536
1 9 -215086124041
1 -19 454070706309
1 -29 693055288577
1 -26 621359913897
